,,James Monroe:Democratic-Republican,,,No candidate:Federalist,,,Others,,,Not cast
State,Electoral vote,#,%,Electoral votes,#,%,Electoral votes,#,%,Electoral votes,#
Alabama,3,-,-,3,-,-,-,-,-,-,-
Connecticut,9,"3,871",84.17%,9,728,15.83%,-,-,-,-,-
Delaware,4,-,-,4,-,-,-,-,-,-,-
Georgia,8,-,-,8,-,-,-,-,-,-,-
Illinois,3,940,65.14%,3,-,-,-,503,34.86%,-,-
Indiana,3,-,-,3,-,-,-,-,-,-,-
Kentucky,12,"2,729",58.44%,12,"1,941",41.56%,-,-,-,-,-
Louisiana,3,-,-,3,-,-,-,-,-,-,-
Maine,9,"4,364",97.19%,9,-,-,-,126,2.81%,-,-
Maryland,11,"4,167",82.61%,11,877,17.39%,-,-,-,-,-
Massachusetts,15,"8,124",32.26%,15,"17,009",67.55%,-,47,0.19%,-,-
Mississippi,3,490,100%,2,-,-,-,-,-,-,1
Missouri,3,-,-,3,-,-,-,-,-,-,-
New Hampshire,8,"9,459",98.96%,7,99,1.04%,-,-,-,1,-
New Jersey,8,"4,102",99.88%,8,5,0.12%,-,-,-,-,-
New York,29,-,-,29,-,-,-,-,-,-,-
North Carolina,15,"3,340",99.11%,15,1,0.03%,-,29,0.86%,-,
Ohio,8,"7,164",99.53%,8,-,-,-,34,0.47%,-,-
Pennsylvania,25,"30,313",94.12%,24,-,-,-,"1,893",5.88%,-,1
Rhode Island,4,724,100%,4,-,-,-,-,-,-,-
South Carolina,11,-,-,11,-,-,-,-,-,-,-
Tennessee,8,"1,336",80.34%,7,-,-,-,327,19.66%,-,1
Vermont,8,-,-,8,-,-,-,-,-,-,-
Virginia,25,"4,320",100%,25,-,-,-,-,-,-,-
Total,231,85443,78.34%,228,20660,18.94%,0,2959,2.72%,0,3
