,,Ulysses S. Grant:Republican,,,Horatio Seymour:Democratic,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,8,"76,667",51.25,8,"72,921",48.75,–,"149,594"
Arkansas,5,"22,112",53.68,5,"19,078",46.32,–,"41,190"
California,5,"54,592",50.24,5,"54,078",49.76,–,"108,670"
Connecticut,6,"50,788",51.49,6,"47,844",48.51,–,"98,632"
Delaware,3,"7,614",41.00,–,"10,957",59.00,3,"18,571"
Florida,3,–,–,3 [ note 1 ],–,–,–,–
Georgia,9,"57,109",35.73,–,"102,707",64.27,9,"159,816"
Illinois,16,"250,304",55.69,16,"199,116",44.31,–,"449,420"
Indiana,13,"176,552",51.39,13,"166,980",48.61,–,"343,532"
Iowa,8,"120,399",61.92,8,"74,040",38.08,–,"194,439"
Kansas,3,"30,027",68.82,3,"13,600",31.17,–,"43,630"
Kentucky,11,"39,566",25.45,–,"115,889",74.55,11,"155,455"
Louisiana,7,"33,263",29.31,–,"80,225",70.69,7,"113,488"
Maine,7,"70,502",62.41,7,"42,460",37.59,–,"112,962"
Maryland,7,"30,438",32.80,–,"62,357",67.20,7,"92,795"
Massachusetts,12,"136,379",69.76,12,"59,103",30.23,–,"195,508"
Michigan,8,"128,560",56.98,8,"97,060",43.02,–,"225,620"
Minnesota,4,"43,722",60.88,4,"28,096",39.12,–,"71,818"
Missouri,11,"86,860",56.96,11,"65,628",43.04,–,"152,488"
Nebraska,3,"9,772",63.91,3,"5,519",36.09,–,"15,291"
Nevada,3,"6,480",55.39,3,"5,218",44.61,–,"11,698"
New Hampshire,5,"37,718",55.22,5,"30,575",44.76,–,"68,304"
New Jersey,7,"80,131",49.12,–,"83,001",50.88,7,"163,132"
New York,33,"419,888",49.41,–,"429,883",50.59,33,"849,771"
North Carolina,9,"96,939",53.41,9,"84,559",46.59,–,"181,498"
Ohio,21,"280,167",54.00,21,"238,621",46.00,–,"518,788"
Oregon,3,"10,961",49.63,–,"11,125",50.37,3,"22,086"
Pennsylvania,26,"342,280",52.20,26,"313,382",47.80,–,"655,662"
Rhode Island,4,"12,993",66.49,4,"6,548",33.51,–,"19,541"
South Carolina,6,"62,301",57.93,6,"45,237",42.07,–,"107,538"
Tennessee,10,"56,628",68.43,10,"26,129",31.57,–,"82,757"
Vermont,5,"44,167",78.57,5,"12,045",21.43,–,"56,212"
West Virginia,5,"29,015",58.83,5,"20,306",41.17,–,"49,321"
Wisconsin,8,"108,900",56.25,8,"84,703",43.75,–,"193,603"
TOTALS:,294,"3,013,790",52.66,214,"2,708,980",47.34,80,"5,722,440"
