,,Grover Cleveland:Democratic,,,Benjamin Harrison:Republican,,,James Weaver:Populist,,,John Bidwell:Prohibition,,,Simon Wing:Socialist Labor,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"138,135",59.40,11,"9,184",3.95,-,"84,984",36.55,-,240,0.10,-,-,-,-,"232,543"
Arkansas,8,"87,834",59.30,8,"47,072",31.78,-,"11,831",7.99,-,113,0.08,-,-,-,-,"148,117"
California,9,"118,174",43.83,8,"118,027",43.78,1,"25,311",9.39,-,"8,096",3.00,-,-,-,-,"269,609"
Colorado,4,-,-,-,"38,620",41.13,-,"53,584",57.07,4,"1,687",1.80,-,-,-,-,"93,891"
Connecticut,6,"82,395",50.06,6,"77,032",46.80,-,809,0.49,-,"4,026",2.45,-,333,0.20,-,"164,595"
Delaware,3,"18,581",49.90,3,"18,077",48.55,-,-,-,-,564,1.51,-,-,-,-,"37,235"
Florida,4,"30,153",85.01,4,-,-,-,"4,843",13.65,-,475,1.34,-,-,-,-,"35,471"
Georgia,13,"129,446",58.01,13,"48,408",21.70,-,"41,939",18.80,-,988,0.44,-,-,-,-,"223,126"
Idaho,3,-,-,-,"8,599",44.31,-,"10,520",54.21,3,288,1.48,-,-,-,-,"19,407"
Illinois,24,"426,281",48.79,24,"399,288",45.70,-,"22,207",2.54,-,"25,871",2.96,-,-,-,-,"873,647"
Indiana,15,"262,740",47.46,15,"255,615",46.17,-,"22,208",4.01,-,"13,050",2.36,-,-,-,-,"553,613"
Iowa,13,"196,367",44.31,-,"219,795",49.60,13,"20,595",4.65,-,"6,402",1.44,-,-,-,-,"443,159"
Kansas,10,-,-,-,"157,241",48.40,-,"163,111",50.20,10,"4,553",1.40,-,-,-,-,"324,905"
Kentucky,13,"175,461",51.48,13,"135,462",39.74,-,"23,500",6.89,-,"6,441",1.89,-,-,-,-,"340,864"
Louisiana,8,"87,926",76.53,8,"26,963",23.47,-,-,-,-,-,-,-,-,-,-,"114,889"
Maine,6,"48,049",41.26,-,"62,936",54.05,6,"2,396",2.06,-,"3,066",2.63,-,-,-,-,"116,451"
Maryland,8,"113,866",53.39,8,"92,736",43.48,-,796,0.37,-,"5,877",2.76,-,-,-,-,"213,275"
Massachusetts,15,"176,813",45.22,-,"202,814",51.87,15,"3,210",0.82,-,"7,539",1.93,-,649,0.17,-,"391,028"
Michigan,2,"201,624",43.26,-,"222,708",47.79,2,"19,931",4.28,-,"20,857",4.48,-,-,-,-,"466,045"
Michigan -1,1,"19,990",51.33,1,"18,323",47.05,-,291,0.75,-,340,0.87,-,-,-,-,"38,944"
Michigan -2,1,"22,427",47.67,1,"20,947",44.89,-,"1,072",2.30,-,"2,401",5.15,-,-,-,-,"46,667"
Michigan -3,1,"15,750",37.01,-,"21,233",49.98,1,"2,938",6.92,-,"2,562",6.03,-,-,-,-,"42,483"
Michigan -4,1,"20,084",46.16,-,"21,402",49.19,1,-,-,-,"2,024",4.65,-,-,-,-,"43,510"
Michigan -5,1,"20,187",47.72,1,"18,173",42.96,-,"1,980",4.68,-,"1,967",4.65,-,-,-,-,"42,307"
Michigan -6,1,"19,500",43.16,-,"21,324",47.19,1,"2,070",4.58,-,"2,286",5.06,-,-,-,-,"45,180"
Michigan -7,1,"15,984",46.57,1,"15,723",45.80,-,"1,842",5.37,-,777,2.26,-,-,-,-,"34,326"
Michigan -8,1,"15,298",44.55,-,"16,672",48.55,1,"1,149",3.35,-,"1,218",3.35,-,-,-,-,"34,337"
Michigan -9,1,"12,853",43.36,-,"14,036",47.35,1,"1,062",3.58,-,"1,693",5.71,-,-,-,-,"29,664"
Michigan -10,1,"14,972",47.91,1,"14,370",45.98,-,"1,167",3.73,-,741,2.37,-,-,-,-,"31,250"
Michigan -11,1,"12,743",35.16,-,"18,379",50.75,1,"3,143",8.68,-,"1,961",5.41,-,-,-,-,"36,217"
Michigan -12,1,"16,888",42.68,-,"18,811",50.06,1,"1,023",2.59,-,"1,851",4.68,-,-,-,-,"39,573"
Minnesota,9,"100,920",37.76,-,"122,823",45.96,9,"29,313",10.97,-,"14,182",5.31,-,-,-,-,"267,238"
Mississippi,9,"40,030",76.22,9,"1,398",2.66,-,"10,118",19.27,-,973,1.85,-,-,-,-,"52,519"
Missouri,17,"268,400",49.56,17,"227,646",42.03,-,"41,204",7.61,-,"4,333",0.80,-,-,-,-,"541,583"
Montana,3,"17,690",39.79,-,"18,871",42.44,3,"7,338",16.50,-,562,1.26,-,-,-,-,"44,461"
Nebraska,8,"24,943",12.46,-,"87,213",43.56,8,"83,134",41.53,-,"4,902",2.45,-,-,-,-,"200,192"
Nevada,3,714,6.56,-,"2,811",25.84,-,"7,264",66.78,3,89,0.82,-,-,-,-,"10,878"
New Hampshire,4,"42,081",47.11,-,"45,658",51.11,4,293,0.33,-,"1,297",1.45,-,-,-,-,"89,329"
New Jersey,10,"171,066",50.67,10,"156,101",46.24,-,985,0.29,-,"8,134",2.41,-,"1,337",0.40,-,"337,623"
New York,36,"654,868",48.99,36,"609,350",45.58,-,"16,429",1.23,-,"38,190",2.86,-,"17,956",1.34,-,"1,336,793"
North Carolina,11,"132,951",47.44,11,"100,346",35.80,-,"44,336",15.82,-,"2,637",0.94,-,-,-,-,"280,270"
North Dakota,3,0,0.00,1,"17,519",48.50,1,"17,700",49.01,1,899,2.49,-,-,-,-,"36,118"
Ohio,23,"404,115",47.53,1,"405,187",47.66,22,"14,850",1.75,-,"26,012",3.06,-,-,-,-,"850,164"
Oregon,4,"14,243",18.15,-,"35,002",44.59,3,"26,965",34.35,1,"2,281",2.91,-,-,-,-,"78,491"
Pennsylvania,32,"452,264",45.09,-,"516,011",51.45,32,"8,714",0.87,-,"25,123",2.50,-,898,0.09,-,"1,003,010"
Rhode Island,4,"24,336",45.75,-,"26,975",50.71,4,228,0.43,-,"1,654",3.11,-,-,-,-,"53,196"
South Carolina,9,"54,680",77.56,9,"13,345",18.93,-,"2,407",3.41,-,-,-,-,-,-,-,"70,504"
South Dakota,4,"9,081",12.88,-,"34,888",49.48,4,"26,544",37.64,-,-,-,-,-,-,-,"70,513"
Tennessee,12,"136,468",51.36,12,"100,537",37.83,-,"23,918",9.00,-,"4,809",1.81,-,-,-,-,"265,732"
Texas,15,"239,148",56.65,15,"81,144",19.22,-,"99,688",23.61,-,"2,165",0.51,-,-,-,-,"422,145"
Vermont,4,"16,325",29.26,-,"37,992",68.09,4,44,0.08,-,"1,424",2.55,-,-,-,-,"55,796"
Virginia,12,"164,136",56.17,12,"113,098",38.70,-,"12,275",4.20,-,"2,729",0.93,-,-,-,-,"292,238"
Washington,4,"29,802",33.88,-,"36,460",41.45,4,"19,165",21.79,-,"2,542",2.89,-,-,-,-,"87,969"
West Virginia,6,"84,467",49.37,6,"80,292",46.93,-,"4,167",2.44,-,"2,153",1.26,-,-,-,-,"171,079"
Wisconsin,12,"177,325",47.72,12,"171,101",46.05,-,"10,019",2.70,-,"13,136",3.54,-,-,-,-,"371,581"
Wyoming,3,-,-,-,"8,454",50.52,3,"7,722",46.14,-,530,3.17,-,-,-,-,"16,735"
TOTALS:,444,"5,553,898",46.02,277,"5,190,799",43.01,145,"1,026,595",8.51,22,"270,889",2.24,-,"21,173",0.18,-,"12,068,027"
