,,William McKinley:Republican,,,:William Jennings Bryan:Democrat/Populist/Silver,,,John Palmer:National Democrat,,,Joshua Levering:Prohibition,,,Charles Matchett:Socialist Labor,,,Charles Bentley:National Prohibition,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"55,673",28.61,-,"130,298",66.96,11,"6,375",3.28,-,"2,234",1.15,-,-,-,-,-,-,-,"194,580"
Arkansas,8,"37,512",25.12,-,"110,103",73.72,8,-,-,-,839,0.56,-,-,-,-,893,0.60,-,"149,347"
California,9,"146,688",49.16,8,"144,766",48.51,1,"1,730",0.58,-,"2,573",0.86,-,"1,611",0.54,-,"1,047",0.35,-,"298,419"
Colorado,4,"26,271",13.86,-,"161,005",84.95,4,1,0.00,-,"1,717",0.91,-,159,0.08,-,386,0.20,-,"189,539"
Connecticut,6,"110,285",63.24,6,"56,740",32.54,-,"4,336",2.49,-,"1,806",1.04,-,"1,223",0.70,-,-,-,-,"174,390"
Delaware,3,"20,450",53.18,3,"16,574",43.10,-,966,2.51,-,466,1.21,-,-,-,-,-,-,-,"38,456"
Florida,4,"11,298",24.30,-,"32,756",70.46,4,"1,778",3.82,-,656,1.41,-,-,-,-,-,-,-,"46,488"
Georgia,13,"59,395",36.56,-,"93,885",57.78,13,"3,670",2.26,-,"5,483",3.37,-,-,-,-,-,-,-,"162,480"
Idaho,3,"6,314",21.32,-,"23,135",78.10,3,-,-,-,172,0.58,-,-,-,-,-,-,-,"29,621"
Illinois,24,"607,130",55.66,24,"465,613",42.68,-,"6,390",0.59,-,"9,796",0.90,-,"1,147",0.11,-,793,0.07,-,"1,090,869"
Indiana,15,"323,754",50.82,15,"305,573",47.96,-,"2,145",0.34,-,"3,056",0.48,-,324,0.05,-,"2,267",0.36,-,"637,119"
Iowa,13,"289,293",55.47,13,"223,741",42.90,-,"4,516",0.87,-,"3,192",0.61,-,453,0.09,-,352,0.07,-,"521,547"
Kansas,10,"159,345",47.63,-,"171,675",51.32,10,"1,209",0.36,-,"1,698",0.51,-,-,-,-,620,0.19,-,"334,547"
Kentucky,13,"218,171",48.93,12,"217,894",48.86,1,"5,084",1.14,-,"4,779",1.07,-,-,-,-,-,-,-,"445,928"
