,,William McKinley:Republican,,,William Jennings Bryan:Democratic,,,John Woolley:Prohibition,,,Eugene V. Debs:Social Democratic,,,Wharton Barker:Populist,,,Joseph F. Malloney:Socialist Labor,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"55,612",34.82,-,"97,129",60.82,11,"2,763",1.73,-,-,-,-,"4,188",2.62,-,-,-,-,"159,692"
Arkansas,8,"44,800",35.04,-,"81,142",63.46,8,584,0.46,-,-,-,-,972,0.76,-,-,-,-,"127,866"
California,9,"164,755",54.50,9,"124,985",41.34,-,"5,024",1.66,-,-,-,-,-,-,-,"7,554",2.50,-,"302,318"
Colorado,4,"93,072",42.04,-,"122,733",55.43,4,"3,790",1.71,-,714,0.32,-,389,0.18,-,684,0.31,-,"221,408"
Connecticut,6,"102,572",56.92,6,"74,014",41.07,-,"1,617",0.90,-,"1,029",0.57,-,-,-,-,908,0.50,-,"180,195"
Delaware,3,"22,535",53.67,3,"18,852",44.90,-,546,1.30,-,56,0.13,-,-,-,-,-,-,-,"41,989"
Florida,4,"7,355",18.55,-,"28,273",71.31,4,"2,244",5.66,-,634,1.60,-,"1,143",2.88,-,-,-,-,"39,649"
Georgia,13,"34,260",28.22,-,"81,180",66.86,13,"1,402",1.15,-,-,-,-,"4,568",3.76,-,-,-,-,"121,410"
Idaho,3,"27,198",46.96,-,"29,414",50.79,3,857,1.48,-,-,-,-,445,0.77,-,-,-,-,"57,914"
Illinois,24,"597,985",52.83,24,"503,061",44.44,-,"17,626",1.56,-,"9,687",0.86,-,"1,141",0.10,-,"1,373",0.12,-,"1,131,897"
Indiana,15,"336,063",50.60,15,"309,584",46.62,-,"13,718",2.07,-,"2,374",0.36,-,"1,438",0.22,-,663,0.10,-,"664,094"
Iowa,13,"307,808",58.04,13,"209,265",39.46,-,"9,502",1.79,-,"2,742",0.52,-,613,0.12,-,259,0.05,-,"530,355"
Kansas,10,"185,955",52.56,10,"162,601",45.96,-,"3,605",1.02,-,"1,605",0.45,-,-,-,-,-,-,-,"353,766"
Kentucky,13,"227,132",48.51,-,"235,126",50.21,13,"2,890",0.62,-,766,0.16,-,"1,961",0.42,-,390,0.08,-,"468,265"
Louisiana,8,"14,234",20.96,-,"53,668",79.03,8,-,-,-,-,-,-,-,-,-,-,-,-,"67,906"
Maine,6,"65,412",61.89,6,"36,822",34.84,-,"2,581",2.44,-,878,0.83,-,-,-,-,-,-,-,"105,693"
Maryland,8,"136,185",51.50,8,"122,238",46.23,-,"4,574",1.73,-,904,0.34,-,-,-,-,388,0.15,-,"264,434"
Massachusetts,15,"238,866",57.59,15,"156,997",37.85,-,"6,202",1.50,-,"9,607",2.32,-,-,-,-,"2,599",0.63,-,"414,804"
Michigan,14,"316,269",58.10,14,"211,685",38.89,-,"11,859",2.18,-,"2,826",0.52,-,903,0.17,-,837,0.15,-,"544,379"
