,,Theodore Roosevelt:Republican,,,Alton B. Parker:Democratic,,,Eugene V. Debs:Socialist,,,Silas Swallow:Prohibition,,,Thomas Watson:Populist,,,Charles Corregan:Socialist Labor,,,State total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"22,472",20.66,-,"79,797",73.35,11,853,0.78,-,612,0.56,-,"5,051",4.64,-,-,-,-,"108,785"
Arkansas,9,"46,860",40.25,-,"64,434",55.35,9,"1,816",1.56,-,993,0.85,-,"2,318",1.99,-,-,-,-,"116,421"
California,10,"205,226",61.84,10,"89,404",26.94,-,"29,535",8.90,-,"7,380",2.22,-,2,0.00,-,-,-,-,"331,878"
Colorado,5,"134,661",55.26,5,"100,105",41.08,-,"4,304",1.77,-,"3,438",1.41,-,824,0.34,-,335,0.14,-,"243,667"
Connecticut,7,"111,089",58.12,7,"72,909",38.15,-,"4,543",2.38,-,"1,506",0.79,-,495,0.26,-,575,0.30,-,"191,128"
Delaware,3,"23,705",54.05,3,"19,347",44.11,-,146,0.33,-,607,1.38,-,51,0.12,-,-,-,-,"43,856"
Florida,5,"8,314",21.48,-,"26,449",68.33,5,"2,337",6.04,-,-,-,-,"1,605",4.15,-,-,-,-,"38,705"
Georgia,13,"24,004",18.33,-,"83,466",63.72,13,196,0.15,-,685,0.52,-,"22,635",17.28,-,-,-,-,"130,986"
Idaho,3,"47,783",65.84,3,"18,480",25.46,-,"4,949",6.82,-,"1,013",1.40,-,353,0.49,-,-,-,-,"72,578"
Illinois,27,"632,645",58.77,27,"327,606",30.43,-,"69,225",6.43,-,"34,770",3.23,-,"6,725",0.62,-,"4,698",0.44,-,"1,076,499"
Indiana,15,"368,289",53.99,15,"274,345",40.22,-,"12,013",1.76,-,"23,496",3.44,-,"2,444",0.36,-,"1,598",0.23,-,"682,185"
Iowa,13,"308,158",63.39,13,"149,276",30.71,-,"14,849",3.05,-,"11,603",2.39,-,"2,207",0.45,-,-,-,-,"486,093"
Kansas,10,"212,955",64.81,10,"86,174",26.23,-,"15,869",4.83,-,"7,306",2.22,-,"6,257",1.90,-,-,-,-,"328,561"
Kentucky,13,"205,457",47.13,-,"217,170",49.82,13,"3,599",0.83,-,"6,603",1.51,-,"2,521",0.58,-,596,0.14,-,"435,946"
Louisiana,9,"5,205",9.66,-,"47,708",88.50,9,995,1.85,-,-,-,-,-,-,-,-,-,-,"53,908"
Maine,6,"65,432",67.44,6,"27,642",28.49,-,"2,102",2.17,-,"1,510",1.56,-,337,0.35,-,-,-,-,"97,023"
Maryland,8,"109,497",48.83,1,"109,446",48.81,7,"2,247",1.00,-,"3,034",1.35,-,1,0.00,-,-,-,-,"224,229"
Massachusetts,16,"257,822",57.92,16,"165,746",37.24,-,"13,604",3.06,-,"4,279",0.96,-,"1,294",0.29,-,"2,359",0.53,-,"445,109"
Michigan,14,"364,957",69.51,14,"135,392",25.79,-,"9,042",1.72,-,"13,441",2.56,-,"1,159",0.22,-,"1,036",0.20,-,"525,027"
Minnesota,11,"216,651",73.98,11,"55,187",18.84,-,"11,692",3.99,-,"6,253",2.14,-,"2,103",0.72,-,974,0.33,-,"292,860"
Mississippi,10,"3,280",5.59,-,"53,480",91.07,10,462,0.79,-,-,-,-,"1,499",2.55,-,-,-,-,"58,721"
Missouri,18,"321,449",49.93,18,"296,312",46.02,-,"13,009",2.02,-,"7,191",1.12,-,"4,226",0.66,-,"1,674",0.26,-,"643,861"
Montana,3,"34,932",54.21,3,"21,773",33.79,-,"5,676",8.81,-,335,0.52,-,"1,520",2.36,-,208,0.32,-,"64,444"
Nebraska,8,"138,558",61.38,8,"52,921",23.44,-,"7,412",3.28,-,"6,323",2.80,-,"20,518",9.09,-,-,-,-,"225,732"
