,,Calvin Coolidge:Republican,,,John W. Davis:Democratic,,,Robert La Follette:Progressive,,,Herman Faris:Prohibition,,,William Foster:Communist,,,Frank Johns:Socialist Labor,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,12,"45,005",27.01,-,"112,966",67.81,12,"8,084",4.85,-,538,0.32,-,-,-,-,-,-,-,"166,593"
Arizona,3,"30,516",41.26,3,"26,235",35.47,-,"17,210",23.27,-,-,-,-,-,-,-,-,-,-,"73,961"
Arkansas,9,"40,564",29.28,-,"84,795",61.21,9,"13,173",9.51,-,-,-,-,-,-,-,-,-,-,"138,532"
California,13,"733,250",57.20,13,"105,514",8.23,-,"424,649",33.13,-,"18,365",1.43,-,-,-,-,-,-,-,"1,281,900"
Colorado,6,"195,171",57.02,6,"75,238",21.98,-,"69,945",20.44,-,966,0.28,-,562,0.16,-,378,0.11,-,"342,260"
Connecticut,7,"246,322",61.54,7,"110,184",27.53,-,"42,416",10.60,-,-,-,-,-,-,-,"1,373",0.34,-,"400,295"
Delaware,3,"52,441",57.70,3,"33,445",36.80,-,"4,979",5.48,-,-,-,-,-,-,-,-,-,-,"90,885"
Florida,6,"30,633",28.06,-,"62,083",56.88,6,"8,625",7.90,-,"5,498",5.04,-,-,-,-,-,-,-,"109,154"
Georgia,14,"30,300",18.19,-,"123,200",73.96,14,"12,691",7.62,-,231,0.14,-,-,-,-,-,-,-,"166,577"
Idaho,4,"69,879",47.12,4,"24,256",16.36,-,"54,160",36.52,-,-,-,-,-,-,-,-,-,-,"148,295"
Illinois,29,"1,453,321",58.84,29,"576,975",23.36,-,"432,027",17.49,-,"2,367",0.10,-,"2,622",0.11,-,"2,334",0.09,-,"2,470,067"
Indiana,15,"703,042",55.25,15,"492,245",38.69,-,"71,700",5.64,-,"4,416",0.35,-,987,0.08,-,-,-,-,"1,272,390"
Iowa,13,"537,635",55.03,13,"162,600",16.64,-,"272,243",27.87,-,-,-,-,"4,037",0.41,-,-,-,-,"976,960"
Kansas,10,"407,671",61.54,10,"156,319",23.60,-,"98,461",14.86,-,-,-,-,-,-,-,-,-,-,"662,454"
Kentucky,13,"398,966",48.93,13,"374,855",45.98,-,"38,465",4.72,-,-,-,-,-,-,-,"1,499",0.18,-,"815,332"
Louisiana,10,"24,670",20.23,-,"93,218",76.44,10,-,-,-,-,-,-,-,-,-,-,-,-,"121,951"
Maine,6,"138,440",72.03,6,"41,964",21.83,-,"11,382",5.92,-,-,-,-,-,-,-,406,0.21,-,"192,192"
Maryland,8,"162,414",45.29,8,"148,072",41.29,-,"47,157",13.15,-,-,-,-,-,-,-,987,0.28,-,"358,630"
Massachusetts,18,"703,476",62.26,18,"280,831",24.86,-,"141,225",12.50,-,-,-,-,"2,635",0.23,-,"1,668",0.15,-,"1,129,837"
Michigan,15,"874,631",75.37,15,"152,359",13.13,-,"122,014",10.51,-,"6,085",0.52,-,"5,330",0.46,-,-,-,-,"1,160,419"
Minnesota,12,"420,759",51.18,12,"55,913",6.80,-,"339,192",41.26,-,-,-,-,"4,427",0.54,-,"1,855",0.23,-,"822,146"
Mississippi,10,"8,494",7.55,-,"100,474",89.34,10,"3,494",3.11,-,-,-,-,-,-,-,-,-,-,"112,462"
Missouri,18,"648,486",49.58,18,"572,753",43.79,-,"84,160",6.43,-,"1,418",0.11,-,-,-,-,883,0.07,-,"1,307,958"
Montana,4,"74,138",42.50,4,"33,805",19.38,-,"66,123",37.91,-,-,-,-,357,0.20,-,-,-,-,"174,423"
Nebraska,8,"218,585",47.09,8,"137,289",29.58,-,"106,701",22.99,-,"1,594",0.34,-,-,-,-,-,-,-,"464,173"
Nevada,3,"11,243",41.76,3,"5,909",21.95,-,"9,769",36.29,-,-,-,-,-,-,-,-,-,-,"26,921"
New Hampshire,4,"98,575",59.83,4,"57,201",34.72,-,"8,993",5.46,-,-,-,-,-,-,-,-,-,-,"164,769"
New Jersey,14,"675,162",62.17,14,"297,743",27.41,-,"108,901",10.03,-,"1,337",0.12,-,"1,540",0.14,-,819,0.08,-,"1,086,079"
New Mexico,3,"54,745",48.52,3,"48,542",43.02,-,"9,543",8.46,-,-,-,-,-,-,-,-,-,-,"112,830"
New York,45,"1,820,058",55.76,45,"950,796",29.13,-,"474,913",14.55,-,-,-,-,"8,244",0.25,-,"9,928",0.30,-,"3,263,939"
North Carolina,12,"191,753",39.73,-,"284,270",58.89,12,"6,651",1.38,-,13,0.00,-,-,-,-,-,-,-,"482,687"
North Dakota,5,"94,931",47.68,5,"13,858",6.96,-,"89,922",45.17,-,-,-,-,370,0.19,-,-,-,-,"199,081"
Ohio,24,"1,176,130",58.33,24,"477,888",23.70,-,"357,948",17.75,-,-,-,-,-,-,-,"3,025",0.15,-,"2,016,237"
Oklahoma,10,"226,242",42.82,-,"255,798",48.41,10,"46,375",8.78,-,-,-,-,-,-,-,-,-,-,"528,415"
Oregon,5,"142,579",51.01,5,"67,589",24.18,-,"68,403",24.47,-,-,-,-,-,-,-,917,0.33,-,"279,488"
Pennsylvania,38,"1,401,481",65.34,38,"409,192",19.08,-,"307,567",14.34,-,"9,779",0.46,-,"2,735",0.13,-,634,0.03,-,"2,144,850"
Rhode Island,5,"125,286",59.63,5,"76,606",36.46,-,"7,628",3.63,-,-,-,-,289,0.14,-,268,0.13,-,"210,115"
South Carolina,9,"1,123",2.21,-,"49,008",96.56,9,620,1.22,-,-,-,-,-,-,-,-,-,-,"50,752"
South Dakota,5,"101,299",49.69,5,"27,214",13.35,-,"75,355",36.96,-,-,-,-,-,-,-,-,-,-,"203,868"
Tennessee,12,"130,882",43.59,-,"158,537",52.80,12,"10,656",3.55,-,100,0.03,-,-,-,-,-,-,-,"300,275"
Texas,20,"130,023",19.78,-,"484,605",73.70,20,"42,881",6.52,-,-,-,-,-,-,-,-,-,-,"657,509"
Utah,4,"77,327",49.26,4,"47,001",29.94,-,"32,662",20.81,-,-,-,-,-,-,-,-,-,-,"156,990"
Vermont,4,"80,498",78.22,4,"16,124",15.67,-,"5,964",5.79,-,326,0.32,-,-,-,-,-,-,-,"102,917"
Virginia,12,"73,312",32.79,-,"139,716",62.48,12,"10,377",4.64,-,-,-,-,-,-,-,197,0.09,-,"223,602"
Washington,7,"220,224",52.24,7,"42,842",10.16,-,"150,727",35.76,-,-,-,-,761,0.18,-,"1,004",0.24,-,"421,549"
West Virginia,8,"288,635",49.45,8,"257,232",44.07,-,"36,723",6.29,-,-,-,-,-,-,-,-,-,-,"583,662"
