State,EV,Roosevelt/Garner:Democratic,,,Hoover/Curtis:Republican,,,Thomas/Maurer:Socialist,,,Other,,,Total votes
State,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Total votes
Alabama,11,"207,910",84.74,11,"34,675",14.13,–,"2,030",0.83,–,739,0.30,–,"245,354"
Arizona,3,"79,264",67.03,3,"36,104",30.53,–,"2,618",2.21,–,265,0.22,–,"118,251"
Arkansas,9,"189,602",85.96,9,"28,467",12.91,–,"1,269",0.58,–,"1,224",0.55,–,"220,562"
California,22,"1,324,157",58.39,22,"847,902",37.39,–,"63,299",2.79,–,"32,608",1.44,–,"2,267,966"
Colorado,6,"250,877",54.81,6,"189,617",41.43,–,"13,591",2.97,–,"3,611",0.79,–,"457,696"
Connecticut,8,"281,632",47.40,–,"288,420",48.54,8,"20,480",3.45,–,"3,651",0.61,–,"594,183"
Delaware,3,"54,319",48.11,–,"57,073",50.55,3,"1,376",1.22,–,133,0.12,–,"112,901"
Florida,7,"206,307",74.68,7,"69,170",25.04,–,775,0.28,–,–,–,–,"276,252"
Georgia,12,"234,118",91.60,12,"19,863",7.77,–,461,0.18,–,"1,148",0.45,–,"255,590"
Idaho,4,"109,479",58.66,4,"71,417",38.27,–,526,0.28,–,"5,203",2.79,–,"186,625"
Illinois,29,"1,882,304",55.23,29,"1,432,756",42.04,–,"67,258",1.97,–,"25,608",0.75,–,"3,407,926"
Indiana,14,"862,054",54.67,14,"677,184",42.94,–,"21,388",1.36,–,"16,301",1.03,–,"1,576,927"
Iowa,11,"598,019",57.69,11,"414,433",39.98,–,"20,467",1.97,–,"3,768",0.36,–,"1,036,687"
Kansas,9,"424,204",53.56,9,"349,498",44.13,–,"18,276",2.31,–,–,–,–,"791,978"
Kentucky,11,"580,574",59.06,11,"394,716",40.15,–,"3,853",0.39,–,"3,920",0.40,–,"983,063"
Louisiana,10,"249,418",92.79,10,"18,853",7.01,–,–,–,–,533,0.20,–,"268,804"
Maine,5,"128,907",43.19,–,"166,631",55.83,5,"2,489",0.83,–,417,0.14,–,"298,444"
Maryland,8,"314,314",61.50,8,"184,184",36.04,–,"10,489",2.05,–,"2,067",0.40,–,"511,054"
Massachusetts,17,"800,148",50.64,17,"736,959",46.64,–,"34,305",2.17,–,"8,702",0.55,–,"1,580,114"
Michigan,19,"871,700",52.36,19,"739,894",44.44,–,"39,205",2.35,–,"13,966",0.84,–,"1,664,765"
Minnesota,11,"600,806",59.91,11,"363,959",36.29,–,"25,476",2.54,–,"12,602",1.26,–,"1,002,843"
Mississippi,9,"140,168",95.98,9,"5,180",3.55,–,686,0.47,–,–,–,–,"146,034"
