,,Franklin D. Roosevelt:Democratic,,,Alfred Landon:Republican,,,William Lemke:Union,,,Norman Thomas:Socialist,,,Other,,,State total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"238,136",86.38,11,"35,358",12.82,-,551,0.20,-,242,0.09,-,"1,397",0.51,-,"275,244"
Arizona,3,"86,722",69.85,3,"33,433",26.93,-,"3,307",2.66,-,317,0.26,-,384,0.31,-,"124,163"
Arkansas,9,"146,765",81.80,9,"32,039",17.86,-,4,0.00,-,446,0.25,-,169,0.09,-,"179,423"
California,22,"1,766,836",66.95,22,"836,431",31.70,-,-,-,-,"11,331",0.43,-,"24,284",0.92,-,"2,638,882"
Colorado,6,"295,021",60.37,6,"181,267",37.09,-,"9,962",2.04,-,"1,593",0.33,-,841,0.17,-,"488,684"
Connecticut,8,"382,129",55.32,8,"278,685",40.35,-,"21,805",3.16,-,"5,683",0.82,-,"2,421",0.35,-,"690,723"
Delaware,3,"69,702",54.62,3,"57,236",44.85,-,442,0.35,-,172,0.13,-,51,0.04,-,"127,603"
Florida,7,"249,117",76.10,7,"78,248",23.90,-,-,-,-,-,-,-,-,-,-,"327,365"
Georgia,12,"255,364",87.10,12,"36,942",12.60,-,141,0.05,-,68,0.02,-,660,0.23,-,"293,175"
Idaho,4,"125,683",62.96,4,"66,256",33.19,-,"7,678",3.85,-,-,-,-,-,-,-,"199,617"
Illinois,29,"2,282,999",57.70,29,"1,570,393",39.69,-,"89,439",2.26,-,"7,530",0.19,-,"6,161",0.16,-,"3,956,522"
Indiana,14,"934,974",56.63,14,"691,570",41.89,-,"19,407",1.18,-,"3,856",0.23,-,"1,090",0.07,-,"1,650,897"
Iowa,11,"621,756",54.41,11,"487,977",42.70,-,"29,687",2.60,-,"1,373",0.12,-,"1,940",0.17,-,"1,142,733"
Kansas,9,"464,520",53.67,9,"397,727",45.95,-,497,0.06,-,"2,770",0.32,-,-,-,-,"865,014"
Kentucky,11,"541,944",58.51,11,"369,702",39.92,-,"12,501",1.35,-,632,0.07,-,"1,424",0.15,-,"926,203"
Louisiana,10,"292,894",88.82,10,"36,791",11.16,-,-,-,-,-,-,-,93,0.00,-,"329,778"
Maine,5,"126,333",41.52,-,"168,823",55.49,5,"7,581",2.49,-,783,0.26,-,720,0.24,-,"304,240"
Maryland,8,"389,612",62.35,8,"231,435",37.04,-,-,-,-,"1,629",0.26,-,"2,220",0.36,-,"624,896"
Massachusetts,17,"942,716",51.22,17,"768,613",41.76,-,"118,639",6.45,-,"5,111",0.28,-,"5,278",0.29,-,"1,840,357"
Michigan,19,"1,016,794",56.33,19,"699,733",38.76,-,"75,795",4.20,-,"8,208",0.45,-,"4,568",0.25,-,"1,805,098"
Minnesota,11,"698,811",61.84,11,"350,461",31.01,-,"74,296",6.58,-,"2,872",0.25,-,"3,535",0.31,-,"1,129,975"
Mississippi,9,"157,318",97.06,9,"4,443",2.74,-,-,-,-,329,0.20,-,-,-,-,"162,090"
Missouri,15,"1,111,043",60.76,15,"697,891",38.16,-,"14,630",0.80,-,"3,454",0.19,-,"1,617",0.09,-,"1,828,635"
Montana,4,"159,690",69.28,4,"63,598",27.59,-,"5,549",2.41,-,"1,066",0.46,-,609,0.26,-,"230,512"
Nebraska,7,"347,445",57.14,7,"247,731",40.74,-,"12,847",2.11,-,-,-,-,-,-,-,"608,023"
Nevada,3,"31,925",72.81,3,"11,923",27.19,-,-,-,-,-,-,-,-,-,-,"43,848"
New Hampshire,4,"108,460",49.73,4,"104,642",47.98,-,"4,819",2.21,-,-,-,-,193,0.09,-,"218,114"
New Jersey,16,"1,083,850",59.54,16,"720,322",39.57,-,"9,407",0.52,-,"3,931",0.22,-,"2,927",0.16,-,"1,820,437"
New Mexico,3,"106,037",62.69,3,"61,727",36.50,-,924,0.55,-,343,0.20,-,105,0.06,-,"169,176"
New York,47,"3,293,222",58.85,47,"2,180,670",38.97,-,-,-,-,"86,897",1.55,-,"35,609",0.64,-,"5,596,398"
North Carolina,13,"616,141",73.40,13,"223,283",26.60,-,2,0.00,-,21,0.00,-,17,0.00,-,"839,464"
