,,Franklin D. Roosevelt:Democratic,,,Wendell Willkie:Republican,,,Norman Thomas:Socialist,,,Other,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"250,726",85.22,11,"42,184",14.34,-,100,0.03,-,"1,209",0.41,-,"294,219"
Arizona,3,"95,267",63.49,3,"54,030",36.01,-,-,-,-,742,0.49,-,"150,039"
Arkansas,9,"158,622",79.02,9,"42,121",20.98,-,-,-,-,-,-,-,"200,743"
California,22,"1,877,618",57.44,22,"1,351,419",41.34,-,"16,506",0.50,-,"23,248",0.71,-,"3,268,791"
Colorado,6,"265,554",48.37,-,"279,576",50.92,6,"1,899",0.35,-,"1,975",0.36,-,"549,004"
Connecticut,8,"417,621",53.44,8,"361,819",46.30,-,-,-,-,"2,062",0.26,-,"781,502"
Delaware,3,"74,599",54.70,3,"61,440",45.05,-,115,0.08,-,220,0.16,-,"136,374"
Florida,7,"359,334",74.01,7,"126,158",25.99,-,-,-,-,-,-,-,"485,492"
Georgia,12,"265,194",84.85,12,"46,360",14.83,-,-,-,-,997,0.32,-,"312,551"
Idaho,4,"127,842",54.36,4,"106,553",45.31,-,497,0.21,-,276,0.12,-,"235,168"
Illinois,29,"2,149,934",50.97,29,"2,047,240",48.54,-,"10,914",0.26,-,"9,847",0.23,-,"4,217,935"
Indiana,14,"874,063",49.03,-,"899,466",50.45,14,"2,075",0.12,-,"7,143",0.40,-,"1,782,747"
Iowa,11,"578,800",47.62,-,"632,370",52.03,11,-,-,-,"4,260",0.35,-,"1,215,430"
Kansas,9,"364,725",42.40,-,"489,169",56.86,9,"2,347",0.27,-,"4,056",0.47,-,"860,297"
Kentucky,11,"557,222",57.44,11,"410,384",42.30,-,"1,014",0.10,-,"1,443",0.15,-,"970,063"
Louisiana,10,"319,751",85.88,10,"52,446",14.09,-,-,-,-,108,0.03,-,"372,305"
Maine,5,"156,478",48.77,-,"163,951",51.10,5,-,-,-,411,0.13,-,"320,840"
Maryland,8,"384,546",58.25,8,"269,534",40.83,-,"4,093",0.62,-,"1,944",0.29,-,"660,117"
Massachusetts,17,"1,076,522",53.11,17,"939,700",46.36,-,"4,091",0.20,-,"6,680",0.33,-,"2,026,993"
Michigan,19,"1,032,991",49.52,-,"1,039,917",49.85,19,"7,593",0.36,-,"5,428",0.26,-,"2,085,929"
Minnesota,11,"644,196",51.49,11,"596,274",47.66,-,"5,454",0.44,-,"5,264",0.42,-,"1,251,188"
Mississippi,9,"168,267",95.70,9,"7,364",4.19,-,193,0.11,-,-,-,-,"175,824"
Missouri,15,"958,476",52.27,15,"871,009",47.50,-,"2,226",0.12,-,"2,018",0.11,-,"1,833,729"
Montana,4,"145,698",58.78,4,"99,579",40.17,-,"1,443",0.58,-,"1,153",0.47,-,"247,873"
Nebraska,7,"263,677",42.81,-,"352,201",57.19,7,-,-,-,-,-,-,"615,878"
Nevada,3,"31,945",60.08,3,"21,229",39.92,-,-,-,-,-,-,-,"53,174"
New Hampshire,4,"125,292",53.22,4,"110,127",46.78,-,-,-,-,-,-,-,"235,419"
New Jersey,16,"1,016,404",51.48,16,"944,876",47.86,-,"2,823",0.14,-,"10,111",0.51,-,"1,974,214"
New Mexico,3,"103,699",56.59,3,"79,315",43.28,-,144,0.08,-,100,0.05,-,"183,258"
New York,47,"3,251,918",51.60,47,"3,027,478",48.04,-,"18,950",0.30,-,"3,250",0.05,-,"6,301,596"
North Carolina,13,"609,015",74.03,13,"213,633",25.97,-,-,-,-,-,-,-,"822,648"
North Dakota,4,"124,036",44.18,-,"154,590",55.06,4,"1,279",0.46,-,870,0.31,-,"280,775"
Ohio,26,"1,733,139",52.20,26,"1,586,773",47.80,-,-,-,-,-,-,-,"3,319,912"
Oklahoma,11,"474,313",57.41,11,"348,872",42.23,-,-,-,-,"3,027",0.37,-,"826,212"
Oregon,5,"258,415",53.70,5,"219,555",45.62,-,398,0.08,-,"2,872",0.60,-,"481,240"
Pennsylvania,36,"2,171,035",53.23,36,"1,889,848",46.33,-,"10,967",0.27,-,"6,864",0.17,-,"4,078,714"
Rhode Island,4,"182,182",56.73,4,"138,653",43.17,-,-,-,-,313,0.10,-,"321,148"
South Carolina,8,"95,470",95.63,8,"4,360",4.37,-,-,-,-,2,0.00,-,"99,832"
South Dakota,4,"131,362",42.59,-,"177,065",57.41,4,-,-,-,-,-,-,"308,427"
Tennessee,11,"351,601",67.25,11,"169,153",32.35,-,463,0.09,-,"1,606",0.31,-,"522,823"
Texas,23,"909,974",80.92,23,"212,692",18.91,-,728,0.06,-,"1,137",0.10,-,"1,124,531"
Utah,4,"154,277",62.25,4,"93,151",37.59,-,200,0.08,-,191,0.08,-,"247,819"
Vermont,3,"64,269",44.92,-,"78,371",54.78,3,-,-,-,422,0.30,-,"143,062"
Virginia,11,"235,961",68.08,11,"109,363",31.55,-,282,0.08,-,"1,001",0.29,-,"346,607"
Washington,8,"462,145",58.22,8,"322,123",40.58,-,"4,586",0.58,-,"4,979",0.63,-,"793,833"
West Virginia,8,"495,662",57.10,8,"372,414",42.90,-,-,-,-,-,-,-,"868,076"
Wisconsin,12,"704,821",50.15,12,"679,206",48.32,-,"15,071",1.07,-,"6,424",0.46,-,"1,405,522"
Wyoming,3,"59,287",52.82,3,"52,633",46.89,-,148,0.13,-,172,0.15,-,"112,240"
TOTALS:,531,"27,313,945",54.74,449,"22,347,744",44.78,82,"116,599",0.23,-,"123,825",0.25,-,"49,902,113"
