,,Harry S. Truman:Democratic,,,Thomas E. Dewey:Republican,,,J. Strom Thurmond:Dixiecrat,,,Henry Wallace:Progressive,,,Norman Thomas:Socialist,,,Other,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,-,-,-,"40,930",19.04,-,"171,443",79.75,11,"1,522",0.71,-,-,-,-,"1,085",0.50,-,"214,980"
Arizona,4,"95,251",53.79,4,"77,597",43.82,-,-,-,-,"3,310",1.87,-,-,-,-,907,0.51,-,"177,065"
Arkansas,9,"149,659",61.72,9,"50,959",21.02,-,"40,068",16.52,-,751,0.31,-,"1,037",0.43,-,1,0.00,-,"242,475"
California,25,"1,913,134",47.57,25,"1,895,269",47.13,-,"1,228",0.03,-,"190,381",4.73,-,"3,459",0.09,-,"18,067",0.45,-,"4,021,538"
Colorado,6,"267,288",51.88,6,"239,714",46.52,-,-,-,-,"6,115",1.19,-,"1,678",0.33,-,442,0.09,-,"515,237"
Connecticut,8,"423,297",47.91,-,"437,754",49.55,8,-,-,-,"13,713",1.55,-,"6,964",0.79,-,"1,790",0.20,-,"883,518"
Delaware,3,"67,813",48.76,-,"69,588",50.04,3,-,-,-,"1,050",0.75,-,250,0.18,-,372,0.27,-,"139,073"
Florida,8,"281,988",48.82,8,"194,280",33.63,-,"89,755",15.54,-,"11,620",2.01,-,-,-,-,-,-,-,"577,643"
Georgia,12,"254,646",60.80,12,"76,691",18.31,-,"85,135",20.33,-,"1,636",0.39,-,3,0.00,-,733,0.18,-,"418,764"
Idaho,4,"107,370",49.98,4,"101,514",47.26,-,-,-,-,"4,972",2.31,-,332,0.15,-,628,0.29,-,"214,816"
Illinois,28,"1,994,715",50.07,28,"1,961,103",49.22,-,-,-,-,-,-,-,"11,522",0.29,-,"16,706",0.42,-,"3,984,046"
