,,Dwight D. Eisenhower:Republican,,,Adlai Stevenson:Democratic,,,Vincent Hallinan:Progressive,,,Stuart Hamblen:Prohibition,,,Eric Hass:Socialist Labor,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"149,231",35.02,–,"275,075",64.55,11,–,–,–,"1,814",0.43,–,–,–,–,"426,120"
Arizona,4,"152,042",58.35,4,"108,528",41.65,–,–,–,–,–,–,–,–,–,–,"260,570"
Arkansas,8,"177,155",43.76,–,"226,300",55.90,8,–,–,–,886,0.22,–,1,0.00,–,"404,800"
California,32,"3,035,587",56.83,32,"2,257,646",42.27,–,"24,692",0.46,–,"16,117",0.30,–,273,0.01,–,"5,341,603"
Colorado,6,"379,782",60.27,6,"245,504",38.96,–,"1,919",0.30,–,–,–,–,352,0.06,–,"630,103"
Connecticut,8,"611,012",55.70,8,"481,649",43.91,–,"1,466",0.13,–,–,–,–,535,0.05,–,"1,096,911"
Delaware,3,"90,059",51.75,3,"83,315",47.88,–,155,0.09,–,234,0.13,–,242,0.14,–,"174,025"
Florida,10,"544,036",54.99,10,"444,950",44.97,–,–,–,–,–,–,–,–,–,–,"989,337"
Georgia,12,"198,979",30.34,–,"456,823",69.66,12,–,–,–,–,–,–,–,–,–,"655,803"
Idaho,4,"180,707",65.42,4,"95,081",34.42,–,443,0.16,–,–,–,–,–,–,–,"276,231"
Illinois,27,"2,457,327",54.84,27,"2,013,920",44.94,–,–,–,–,–,–,–,"9,363",0.21,–,"4,481,058"
Indiana,13,"1,136,259",58.11,13,"801,530",40.99,–,"1,222",0.06,–,"15,335",0.78,–,979,0.05,–,"1,955,325"
Iowa,10,"808,906",63.75,10,"451,513",35.59,–,"5,085",0.40,–,"2,882",0.23,–,139,0.01,–,"1,268,773"
Kansas,8,"616,302",68.77,8,"273,296",30.50,–,–,–,–,"6,038",0.67,–,–,–,–,"896,166"
Kentucky,10,"495,029",49.84,–,"495,729",49.91,10,336,0.03,–,"1,161",0.12,–,893,0.09,–,"993,148"
Louisiana,10,"306,925",47.08,–,"345,027",52.92,10,–,–,–,–,–,–,–,–,–,"651,952"
Maine,5,"232,353",66.05,5,"118,806",33.77,–,332,0.09,–,–,–,–,156,0.04,–,"351,786"
Maryland,9,"499,424",55.36,9,"395,337",43.83,–,"7,313",0.81,–,–,–,–,–,–,–,"902,074"
Massachusetts,16,"1,292,325",54.22,16,"1,083,525",45.46,–,"4,636",0.19,–,886,0.04,–,"1,957",0.08,–,"2,383,398"
Michigan,20,"1,551,529",55.44,20,"1,230,657",43.97,–,"3,922",0.14,–,"10,331",0.37,–,"1,495",0.05,–,"2,798,592"
Minnesota,11,"763,211",55.33,11,"608,458",44.11,–,"2,666",0.19,–,"2,147",0.16,–,"2,383",0.17,–,"1,379,483"
