,,Dwight D. Eisenhower:Republican,,,Adlai Stevenson:Democratic,,,T. Coleman Andrews:States’ Rights,,,Eric Hass:Socialist Labor,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"195,694",39.39,-,"280,844",56.52,10,"20,323",4.09,-,-,-,-,"496,871"
Arizona,4,"176,990",60.99,4,"112,880",38.90,-,303,0.10,-,-,-,-,"290,173"
Arkansas,8,"186,287",45.82,-,"213,277",52.46,8,"7,008",1.72,-,-,-,-,"406,572"
California,32,"3,027,668",55.39,32,"2,420,135",44.27,-,"6,087",0.11,-,300,0.01,-,"5,466,355"
Colorado,6,"394,479",59.49,6,"263,997",39.81,-,759,0.11,-,"3,308",0.50,-,"663,074"
Connecticut,8,"711,837",63.72,8,"405,079",36.26,-,-,-,-,-,-,-,"1,117,121"
Delaware,3,"98,057",55.09,3,"79,421",44.62,-,-,-,-,110,0.06,-,"177,988"
Florida,10,"643,849",57.27,10,"480,371",42.73,-,-,-,-,-,-,-,"1,124,220"
Georgia,12,"216,652",32.65,-,"441,094",66.48,12,-,-,-,-,-,-,"663,480"
Idaho,4,"166,979",61.17,4,"105,868",38.78,-,-,-,-,-,-,-,"272,989"
Illinois,27,"2,623,327",59.52,27,"1,775,682",40.29,-,-,-,-,"8,342",0.19,-,"4,407,407"
Indiana,13,"1,182,811",59.90,13,"783,908",39.70,-,-,-,-,"1,334",0.07,-,"1,974,607"
Iowa,10,"729,187",59.06,10,"501,858",40.65,-,"3,202",0.26,-,125,0.01,-,"1,234,564"
Kansas,8,"566,878",65.44,8,"296,317",34.21,-,-,-,-,-,-,-,"866,243"
Kentucky,10,"572,192",54.30,10,"476,453",45.21,-,-,-,-,358,0.03,-,"1,053,805"
Louisiana,10,"329,047",53.28,10,"243,977",39.51,-,"44,520",7.21,-,-,-,-,"617,544"
Maine,5,"249,238",70.87,5,"102,468",29.13,-,-,-,-,-,-,-,"351,706"
Maryland,9,"559,738",60.04,9,"372,613",39.96,-,-,-,-,-,-,-,"932,351"
Massachusetts,16,"1,393,197",59.32,16,"948,190",40.37,-,-,-,-,"5,573",0.24,-,"2,348,506"
Michigan,20,"1,713,647",55.63,20,"1,359,898",44.15,-,-,-,-,-,-,-,"3,080,468"
Minnesota,11,"719,302",53.68,11,"617,525",46.08,-,-,-,-,"2,080",0.16,-,"1,340,005"
Mississippi,8,"60,685",24.46,-,"144,498",58.23,8,"42,966",17.31,-,-,-,-,"248,149"
Missouri,13,"914,289",49.89,-,"918,273",50.11,13,-,-,-,-,-,-,"1,832,562"
Montana,4,"154,933",57.13,4,"116,238",42.87,-,-,-,-,-,-,-,"271,171"
Nebraska,6,"378,108",65.51,6,"199,029",34.49,-,-,-,-,-,-,-,"577,137"
Nevada,3,"56,049",57.97,3,"40,640",42.03,-,-,-,-,-,-,-,"96,689"
New Hampshire,4,"176,519",66.11,4,"90,364",33.84,-,111,0.04,-,-,-,-,"266,994"
New Jersey,16,"1,606,942",64.68,16,"850,337",34.23,-,"5,317",0.21,-,"6,736",0.27,-,"2,484,312"
New Mexico,4,"146,788",57.81,4,"106,098",41.78,-,364,0.14,-,69,0.03,-,"253,926"
New York,45,"4,340,340",61.19,45,"2,750,769",38.78,-,-,-,-,-,-,-,"7,093,336"
North Carolina,14,"575,062",49.34,-,"590,530",50.66,14,-,-,-,-,-,-,"1,165,592"
North Dakota,4,"156,766",61.72,4,"96,742",38.09,-,483,0.19,-,-,-,-,"253,991"
Ohio,25,"2,262,610",61.11,25,"1,439,655",38.89,-,-,-,-,-,-,-,"3,702,265"
Oklahoma,8,"473,769",55.13,8,"385,581",44.87,-,-,-,-,-,-,-,"859,350"
Oregon,6,"406,393",55.25,6,"329,204",44.75,-,-,-,-,-,-,-,"735,597"
Pennsylvania,32,"2,585,252",56.49,32,"1,981,769",43.30,-,-,-,-,"7,447",0.16,-,"4,576,503"
Rhode Island,4,"225,819",58.26,4,"161,790",41.74,-,-,-,-,-,-,-,"387,611"
South Carolina,8,"75,700",25.18,-,"136,372",45.37,8,"88,511",29.45,-,-,-,-,"300,583"
South Dakota,4,"171,569",58.39,4,"122,288",41.61,-,-,-,-,-,-,-,"293,857"
Tennessee,11,"462,288",49.21,11,"456,507",48.60,-,"19,820",2.11,-,-,-,-,"939,404"
Texas,24,"1,080,619",55.26,24,"859,958",43.98,-,"14,591",0.75,-,-,-,-,"1,955,545"
Utah,4,"215,631",64.56,4,"118,364",35.44,-,-,-,-,-,-,-,"333,995"
Vermont,3,"110,390",72.16,3,"42,549",27.81,-,-,-,-,-,-,-,"152,978"
Virginia,12,"386,459",55.37,12,"267,760",38.36,-,"42,964",6.16,-,351,0.05,-,"697,978"
Washington,9,"620,430",53.91,9,"523,002",45.44,-,-,-,-,"7,457",0.65,-,"1,150,889"
West Virginia,8,"449,297",54.08,8,"381,534",45.92,-,-,-,-,-,-,-,"830,831"
Wisconsin,12,"954,844",61.58,12,"586,768",37.84,-,"6,918",0.45,-,710,0.05,-,"1,550,558"
Wyoming,3,"74,573",60.08,3,"49,554",39.92,-,-,-,-,-,-,-,"124,127"
TOTALS:,531,"35,579,180",57.37,457,"26,028,028",41.97,73,"301,417",0.49,-,"44,300",0.07,-,"62,021,979"
