,,John F. Kennedy:Democratic,,,Richard Nixon:Republican,,,Eric Hass:Socialist Labor,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,11,"318,303",56.39,5,"237,981",42.16,–,–,–,–,"880,334"
Alaska,3,"29,809",49.06,–,"30,953",50.94,3,–,–,–,"60,762"
Arizona,4,"176,781",44.36,–,"221,241",55.52,4,469,0.12,–,"398,491"
Arkansas,8,"215,049",50.19,8,"184,508",43.06,–,–,–,–,"428,509"
California,32,"3,224,099",49.55,–,"3,259,722",50.10,32,"1,051",0.02,–,"6,506,578"
Colorado,6,"330,629",44.91,–,"402,242",54.63,6,"2,803",0.38,–,"736,246"
Connecticut,8,"657,055",53.73,8,"565,813",46.27,–,–,–,–,"1,222,883"
Delaware,3,"99,590",50.63,3,"96,373",49.00,–,82,0.04,–,"196,683"
Florida,10,"748,700",48.49,–,"795,476",51.51,10,–,–,–,"1,544,176"
Georgia,12,"458,638",62.54,12,"274,472",37.43,–,–,–,–,"733,349"
Hawaii,3,"92,410",50.03,3,"92,295",49.97,–,–,–,–,"184,705"
Idaho,4,"138,853",46.22,–,"161,597",53.78,4,–,–,–,"300,450"
Illinois,27,"2,377,846",49.98,27,"2,368,988",49.80,–,"10,560",0.22,–,"4,757,409"
Indiana,13,"952,358",44.60,–,"1,175,120",55.03,13,"1,136",0.05,–,"2,135,360"
Iowa,10,"550,565",43.22,–,"722,381",56.71,10,230,0.02,–,"1,273,810"
Kansas,8,"363,213",39.10,–,"561,474",60.45,8,–,–,–,"928,825"
Kentucky,10,"521,855",46.41,–,"602,607",53.59,10,–,–,–,"1,124,462"
Louisiana,10,"407,339",50.42,10,"230,980",28.59,–,–,–,–,"807,891"
Maine,5,"181,159",42.95,–,"240,608",57.05,5,–,–,–,"421,767"
Maryland,9,"565,808",53.61,9,"489,538",46.39,–,–,–,–,"1,055,349"
Massachusetts,16,"1,487,174",60.22,16,"976,750",39.55,–,"3,892",0.16,–,"2,469,480"
Michigan,20,"1,687,269",50.85,20,"1,620,428",48.84,–,"1,718",0.05,–,"3,318,097"
Minnesota,11,"779,933",50.58,11,"757,915",49.16,–,962,0.06,–,"1,541,887"
Mississippi,8,"108,362",36.34,–,"73,561",24.67,–,–,–,–,"298,171"
Missouri,13,"972,201",50.26,13,"962,221",49.74,–,–,–,–,"1,934,422"
Montana,4,"134,891",48.60,–,"141,841",51.10,4,–,–,–,"277,579"
Nebraska,6,"232,542",37.93,–,"380,553",62.07,6,–,–,–,"613,095"
Nevada,3,"54,880",51.16,3,"52,387",48.84,–,–,–,–,"107,267"
New Hampshire,4,"137,772",46.58,–,"157,989",53.42,4,–,–,–,"295,761"
New Jersey,16,"1,385,415",49.96,16,"1,363,324",49.16,–,"4,262",0.15,–,"2,773,111"
New Mexico,4,"156,027",50.15,4,"153,733",49.41,–,570,0.18,–,"311,107"
New York,45,"3,830,085",52.53,45,"3,446,419",47.27,–,–,–,–,"7,291,079"
North Carolina,14,"713,136",52.11,14,"655,420",47.89,–,–,–,–,"1,368,556"
North Dakota,4,"123,963",44.52,–,"154,310",55.42,4,–,–,–,"278,431"
Ohio,25,"1,944,248",46.72,–,"2,217,611",53.28,25,–,–,–,"4,161,859"
Oklahoma,8,"370,111",40.98,–,"533,039",59.02,7,–,–,–,"903,150"
Oregon,6,"367,402",47.32,–,"408,060",52.56,6,–,–,–,"776,421"
Pennsylvania,32,"2,556,282",51.06,32,"2,439,956",48.74,–,"7,185",0.14,–,"5,006,541"
Rhode Island,4,"258,032",63.63,4,"147,502",36.37,–,–,–,–,"405,535"
South Carolina,8,"198,129",51.24,8,"188,558",48.76,–,–,–,–,"386,688"
South Dakota,4,"128,070",41.79,–,"178,417",58.21,4,–,–,–,"306,487"
Tennessee,11,"481,453",45.77,–,"556,577",52.92,11,–,–,–,"1,051,792"
Texas,24,"1,167,567",50.52,24,"1,121,310",48.52,–,–,–,–,"2,311,084"
Utah,4,"169,248",45.17,–,"205,361",54.81,4,–,–,–,"374,709"
Vermont,3,"69,186",41.35,–,"98,131",58.65,3,–,–,–,"167,324"
Virginia,12,"362,327",46.97,–,"404,521",52.44,12,397,0.05,–,"771,449"
Washington,9,"599,298",48.27,–,"629,273",50.68,9,"10,895",0.88,–,"1,241,572"
West Virginia,8,"441,786",52.73,8,"395,995",47.27,–,–,–,–,"837,781"
Wisconsin,12,"830,805",48.05,–,"895,175",51.77,12,"1,310",0.08,–,"1,729,082"
Wyoming,3,"63,331",44.99,–,"77,451",55.01,3,–,–,–,"140,782"
TOTALS:,537,"34,220,984",49.72,303,"34,108,157",49.55,219,"47,522",0.07,–,"68,832,482"
