,,Lyndon B. Johnson:Democratic,,,Barry Goldwater:Republican,,,Other,,,State total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,10,-,-,-,"479,085",69.45,10,-,-,-,"689,817"
Alaska,3,"44,329",65.91,3,"22,930",34.09,-,-,-,-,"67,259"
Arizona,5,"237,753",49.45,-,"242,535",50.45,5,482,0.10,-,"480,770"
Arkansas,6,"314,197",56.06,6,"243,264",43.41,-,-,-,-,"560,426"
California,40,"4,171,877",59.11,40,"2,879,108",40.79,-,489,0.01,-,"7,057,586"
Colorado,6,"476,024",61.27,6,"296,767",38.19,-,302,0.04,-,"776,986"
Connecticut,8,"826,269",67.81,8,"390,996",32.09,-,-,-,-,"1,218,578"
Delaware,3,"122,704",60.95,3,"78,078",38.78,-,113,0.06,-,"201,320"
D. C.,3,"169,796",85.50,3,"28,801",14.50,-,-,-,-,"198,597"
Florida,14,"948,540",51.15,14,"905,941",48.85,-,-,-,-,"1,854,481"
Georgia,12,"522,557",45.87,-,"616,584",54.12,12,-,-,-,"1,139,336"
Hawaii,4,"163,249",78.76,4,"44,022",21.24,-,-,-,-,"207,271"
Idaho,4,"148,920",50.92,4,"143,557",49.08,-,-,-,-,"292,477"
Illinois,26,"2,796,833",59.47,26,"1,905,946",40.53,-,-,-,-,"4,702,841"
Indiana,13,"1,170,848",55.98,13,"911,118",43.56,-,"1,374",0.07,-,"2,091,606"
Iowa,9,"733,030",61.88,9,"449,148",37.92,-,182,0.02,-,"1,184,539"
Kansas,7,"464,028",54.09,7,"386,579",45.06,-,"1,901",0.22,-,"857,901"
Kentucky,9,"669,659",64.01,9,"372,977",35.65,-,-,-,-,"1,046,105"
Louisiana,10,"387,068",43.19,-,"509,225",56.81,10,-,-,-,"896,293"
Maine,4,"262,264",68.84,4,"118,701",31.16,-,-,-,-,"381,221"
Maryland,10,"730,912",65.47,10,"385,495",34.53,-,1,0.00,-,"1,116,457"
Massachusetts,14,"1,786,422",76.19,14,"549,727",23.44,-,"4,755",0.20,-,"2,344,798"
Michigan,21,"2,136,615",66.70,21,"1,060,152",33.10,-,"1,704",0.05,-,"3,203,102"
Minnesota,10,"991,117",63.76,10,"559,624",36.00,-,"2,544",0.16,-,"1,554,462"
Mississippi,7,"52,618",12.86,-,"356,528",87.14,7,-,-,-,"409,146"
Missouri,12,"1,164,344",64.05,12,"653,535",35.95,-,-,-,-,"1,817,879"
Montana,4,"164,246",58.95,4,"113,032",40.57,-,-,-,-,"278,628"
Nebraska,5,"307,307",52.61,5,"276,847",47.39,-,-,-,-,"584,154"
Nevada,3,"79,339",58.58,3,"56,094",41.42,-,-,-,-,"135,433"
New Hampshire,4,"184,064",63.89,4,"104,029",36.11,-,-,-,-,"288,093"
New Jersey,17,"1,867,671",65.61,17,"963,843",33.86,-,"7,075",0.25,-,"2,846,770"
New Mexico,4,"194,017",59.22,4,"131,838",40.24,-,"1,217",0.37,-,"327,615"
New York,43,"4,913,156",68.56,43,"2,243,559",31.31,-,"6,085",0.08,-,"7,166,015"
North Carolina,13,"800,139",56.15,13,"624,844",43.85,-,-,-,-,"1,424,983"
North Dakota,4,"149,784",57.97,4,"108,207",41.88,-,-,-,-,"258,389"
Ohio,26,"2,498,331",62.94,26,"1,470,865",37.06,-,-,-,-,"3,969,196"
Oklahoma,8,"519,834",55.75,8,"412,665",44.25,-,-,-,-,"932,499"
Oregon,6,"501,017",63.72,6,"282,779",35.96,-,-,-,-,"786,305"
Pennsylvania,29,"3,130,954",64.92,29,"1,673,657",34.70,-,"5,092",0.11,-,"4,822,690"
Rhode Island,4,"315,463",80.87,4,"74,615",19.13,-,2,0.00,-,"390,091"
South Carolina,8,"215,700",41.10,-,"309,048",58.89,8,-,-,-,"524,756"
South Dakota,4,"163,010",55.61,4,"130,108",44.39,-,-,-,-,"293,118"
Tennessee,11,"634,947",55.50,11,"508,965",44.49,-,-,-,-,"1,143,946"
Texas,25,"1,663,185",63.32,25,"958,566",36.49,-,"5,060",0.19,-,"2,626,811"
Utah,4,"219,628",54.86,4,"180,682",45.14,-,-,-,-,"400,310"
Vermont,3,"108,127",66.30,3,"54,942",33.69,-,-,-,-,"163,089"
Virginia,12,"558,038",53.54,12,"481,334",46.18,-,"2,895",0.28,-,"1,042,267"
Washington,9,"779,881",61.97,9,"470,366",37.37,-,"7,772",0.62,-,"1,258,556"
West Virginia,7,"538,087",67.94,7,"253,953",32.06,-,-,-,-,"792,040"
Wisconsin,12,"1,050,424",62.09,12,"638,495",37.74,-,"1,204",0.07,-,"1,691,815"
Wyoming,3,"80,718",56.56,3,"61,998",43.44,-,-,-,-,"142,716"
TOTALS:,538,"43,129,040",61.05,486,"27,175,754",38.47,52,-,-,-,"70,641,539"
