,,Richard Nixon:Republican,,,George McGovern:Democratic,,,John Schmitz:American Independent,,,John Hospers:Libertarian,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,9,"728,701",72.43,9,"256,923",25.54,,"11,918",1.18,,,,,"1,006,093"
Alaska,3,"55,349",58.13,3,"32,967",34.62,,"6,903",7.25,,,,,"95,219"
Arizona,6,"402,812",61.64,6,"198,540",30.38,,"21,208",3.25,,,,,"653,505"
Arkansas,6,"445,751",68.82,6,"198,899",30.71,,"3,016",0.47,,,,,"647,666"
California,45,"4,602,096",55.00,45,"3,475,847",41.54,,"232,554",2.78,,980,0.01,,"8,367,862"
Colorado,7,"597,189",62.61,7,"329,980",34.59,,"17,269",1.81,,"1,111",0.12,,"953,884"
Connecticut,8,"810,763",58.57,8,"555,498",40.13,,"17,239",1.25,,,,,"1,384,277"
Delaware,3,"140,357",59.60,3,"92,283",39.18,,"2,638",1.12,,,,,"235,516"
D.C.,3,"35,226",21.56,,"127,627",78.10,3,,,,,,,"163,421"
Florida,17,"1,857,759",71.91,17,"718,117",27.80,,,,,,,,"2,583,283"
Georgia,12,"881,496",75.04,12,"289,529",24.65,,812,0.07,,,,,"1,174,772"
Hawaii,4,"168,865",62.48,4,"101,409",37.52,,,,,,,,"270,274"
Idaho,4,"199,384",64.24,4,"80,826",26.04,,"28,869",9.30,,,,,"310,379"
Illinois,26,"2,788,179",59.03,26,"1,913,472",40.51,,"2,471",0.05,,,,,"4,723,236"
Indiana,13,"1,405,154",66.11,13,"708,568",33.34,,,,,,,,"2,125,529"
Iowa,8,"706,207",57.61,8,"496,206",40.48,,"22,056",1.80,,,,,"1,225,944"
Kansas,7,"619,812",67.66,7,"270,287",29.50,,"21,808",2.38,,,,,"916,095"
Kentucky,9,"676,446",63.37,9,"371,159",34.77,,"17,627",1.65,,,,,"1,067,499"
Louisiana,10,"686,852",65.32,10,"298,142",28.35,,"52,099",4.95,,,,,"1,051,491"
Maine,2,"256,458",61.46,2,"160,584",38.48,,117,0.03,,1,0.00,,"417,271"
Maine -1,1,"135,388",61.42,1,"85,028",38.58,,Unknown,Unknown,,Unknown,Unknown,,"220,416"
Maine -2,1,"121,120",61.58,1,"75,556",38.42,,Unknown,Unknown,,Unknown,Unknown,,"196,676"
Maryland,10,"829,305",61.26,10,"505,781",37.36,,"18,726",1.38,,,,,"1,353,812"
Massachusetts,14,"1,112,078",45.23,,"1,332,540",54.20,14,"2,877",0.12,,43,0.00,,"2,458,756"
Michigan,21,"1,961,721",56.20,21,"1,459,435",41.81,,"63,321",1.81,,,,,"3,490,325"
Minnesota,10,"898,269",51.58,10,"802,346",46.07,,"31,407",1.80,,,,,"1,741,652"
Mississippi,7,"505,125",78.20,7,"126,782",19.63,,"11,598",1.80,,,,,"645,963"
Missouri,12,"1,154,058",62.29,12,"698,531",37.71,,,,,,,,"1,852,589"
Montana,4,"183,976",57.93,4,"120,197",37.85,,"13,430",4.23,,,,,"317,603"
Nebraska,5,"406,298",70.50,5,"169,991",29.50,,,,,,,,"576,289"
Nevada,3,"115,750",63.68,3,"66,016",36.32,,,,,,,,"181,766"
New Hampshire,4,"213,724",63.98,4,"116,435",34.86,,"3,386",1.01,,,,,"334,055"
New Jersey,17,"1,845,502",61.57,17,"1,102,211",36.77,,"34,378",1.15,,,,,"2,997,229"
New Mexico,4,"235,606",61.05,4,"141,084",36.56,,"8,767",2.27,,,,,"385,931"
New York,41,"4,192,778",58.54,41,"2,951,084",41.21,,,,,,,,"7,161,830"
North Carolina,13,"1,054,889",69.46,13,"438,705",28.89,,"25,018",1.65,,,,,"1,518,612"
North Dakota,3,"174,109",62.07,3,"100,384",35.79,,"5,646",2.01,,,,,"280,514"
Ohio,25,"2,441,827",59.63,25,"1,558,889",38.07,,"80,067",1.96,,,,,"4,094,787"
Oklahoma,8,"759,025",73.70,8,"247,147",24.00,,"23,728",2.30,,,,,"1,029,900"
Oregon,6,"486,686",52.45,6,"392,760",42.33,,"46,211",4.98,,,,,"927,946"
Pennsylvania,27,"2,714,521",59.11,27,"1,796,951",39.13,,"70,593",1.54,,,,,"4,592,105"
Rhode Island,4,"220,383",53.00,4,"194,645",46.81,,25,0.01,,2,0.00,,"415,808"
South Carolina,8,"478,427",70.58,8,"189,270",27.92,,"10,166",1.50,,,,,"677,880"
South Dakota,4,"166,476",54.15,4,"139,945",45.52,,,,,,,,"307,415"
Tennessee,10,"813,147",67.70,10,"357,293",29.75,,"30,373",2.53,,,,,"1,201,182"
Texas,26,"2,298,896",66.20,26,"1,154,291",33.24,,"7,098",0.20,,,,,"3,472,714"
Utah,4,"323,643",67.64,4,"126,284",26.39,,"28,549",5.97,,,,,"478,476"
Vermont,3,"117,149",62.66,3,"68,174",36.47,,,,,,,,"186,947"
Virginia,12,"988,493",67.84,11,"438,887",30.12,,"19,721",1.35,,,,1,"1,457,019"
Washington,9,"837,135",56.92,9,"568,334",38.64,,"58,906",4.00,,"1,537",0.10,,"1,470,847"
West Virginia,6,"484,964",63.61,6,"277,435",36.39,,,,,,,,"762,399"
Wisconsin,11,"989,430",53.40,11,"810,174",43.72,,"47,525",2.56,,,,,"1,852,890"
Wyoming,3,"100,464",69.01,3,"44,358",30.47,,748,0.51,,,,,"145,570"
TOTALS:,538,"47,168,710",60.67,520,"29,173,222",37.52,17,"1,100,868",1.42,0,"3,674",0.00,1,"77,744,027"
