,,Jimmy Carter:Democratic,,,Gerald Ford:Republican,,,Eugene McCarthy:Independent,,,Roger MacBride:Libertarian,,,State Total
State,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#,%,electoral votes,#
Alabama,9,"659,170",55.73,9,"504,070",42.61,-,-,-,-,"1,481",0.13,-,"1,182,850"
Alaska,3,"44,058",35.65,-,"71,555",57.90,3,-,-,-,"6,785",5.49,-,"123,574"
Arizona,6,"295,602",39.80,-,"418,642",56.37,6,"19,229",2.59,-,"7,647",1.03,-,"742,719"
Arkansas,6,"499,614",64.94,6,"268,753",34.93,-,647,0.08,-,-,-,-,"769,396"
California,45,"3,742,284",47.57,-,"3,882,244",49.35,45,"58,412",0.74,-,"56,388",0.72,-,"7,867,117"
Colorado,7,"460,353",42.58,-,"584,367",54.05,7,"26,107",2.41,-,"5,330",0.49,-,"1,081,135"
Connecticut,8,"647,895",46.90,-,"719,261",52.06,8,-,-,-,-,-,-,"1,381,526"
Delaware,3,"122,596",51.98,3,"109,831",46.57,-,"2,437",1.03,-,-,-,-,"235,834"
D.C.,3,"137,818",81.63,3,"27,873",16.51,-,-,-,-,274,0.16,-,"168,830"
Florida,17,"1,636,000",51.93,17,"1,469,531",46.64,-,"23,643",0.75,-,103,0.00,-,"3,150,631"
Georgia,12,"979,409",66.74,12,"483,743",32.96,-,991,0.07,-,175,0.01,-,"1,467,458"
Hawaii,4,"147,375",50.59,4,"140,003",48.06,-,-,-,-,"3,923",1.35,-,"291,301"
Idaho,4,"126,549",37.12,-,"204,151",59.88,4,-,-,-,"3,558",1.04,-,"340,932"
Illinois,26,"2,271,295",48.13,-,"2,364,269",50.10,26,"55,939",1.19,-,"8,057",0.17,-,"4,718,833"
Indiana,13,"1,014,714",45.70,-,"1,183,958",53.32,13,-,-,-,-,-,-,"2,220,362"
Iowa,8,"619,931",48.46,-,"632,863",49.47,8,"20,051",1.57,-,"1,452",0.11,-,"1,279,306"
Kansas,7,"430,421",44.94,-,"502,752",52.49,7,"13,185",1.38,-,"3,242",0.34,-,"957,845"
Kentucky,9,"615,717",52.75,9,"531,852",45.57,-,"6,837",0.59,-,814,0.07,-,"1,167,142"
Louisiana,10,"661,365",51.73,10,"587,446",45.95,-,"6,588",0.52,-,"3,325",0.26,-,"1,278,439"
Maine,2,"232,279",48.07,-,"236,320",48.91,2,"10,874",2.25,-,10,0.00,-,"483,208"
Maine -1,1,"123,598",47.90,–,"127,019",49.22,1,"6,025",2.33,–,–,–,–,"250,617"
Maine -2,1,"108,681",48.27,–,"109,301",48.54,1,"4,849",2.15,–,–,–,–,"217,982"
Maryland,10,"759,612",53.04,10,"672,661",46.96,-,-,-,-,-,-,-,"1,432,273"
Massachusetts,14,"1,429,475",56.11,14,"1,030,276",40.44,-,"65,637",2.58,-,135,0.01,-,"2,547,557"
Michigan,21,"1,696,714",46.44,-,"1,893,742",51.83,21,"47,905",1.31,-,"5,406",0.15,-,"3,653,749"
Minnesota,10,"1,070,440",54.90,10,"819,395",42.02,-,"35,490",1.82,-,"3,529",0.18,-,"1,949,931"
Mississippi,7,"381,309",49.56,7,"366,846",47.68,-,"4,074",0.53,-,"2,787",0.36,-,"769,360"
Missouri,12,"998,387",51.10,12,"927,443",47.47,-,"24,029",1.23,-,-,-,-,"1,953,600"
Montana,4,"149,259",45.40,-,"173,703",52.84,4,-,-,-,-,-,-,"328,734"
Nebraska,5,"233,692",38.46,-,"359,705",59.19,5,"9,409",1.55,-,"1,482",0.24,-,"607,668"
Nevada,3,"92,479",45.81,-,"101,273",50.17,3,-,-,-,"1,519",0.75,-,"201,876"
New Hampshire,4,"147,635",43.47,-,"185,935",54.75,4,"4,095",1.21,-,936,0.28,-,"339,618"
New Jersey,17,"1,444,653",47.92,-,"1,509,688",50.08,17,"32,717",1.09,-,"9,449",0.31,-,"3,014,472"
New Mexico,4,"201,148",48.28,-,"211,419",50.75,4,-,-,-,"1,110",0.27,-,"416,590"
New York,41,"3,389,558",51.95,41,"3,100,791",47.52,-,"4,303",0.07,-,"12,197",0.19,-,"6,525,225"
North Carolina,13,"927,365",55.27,13,"741,960",44.22,-,-,-,-,"2,219",0.13,-,"1,677,906"
North Dakota,3,"136,078",45.80,-,"153,470",51.66,3,"2,952",0.99,-,256,0.09,-,"297,094"
Ohio,25,"2,011,621",48.92,25,"2,000,505",48.65,-,"58,258",1.42,-,"8,961",0.22,-,"4,111,873"
Oklahoma,8,"532,442",48.75,-,"545,708",49.96,8,"14,101",1.29,-,-,-,-,"1,092,251"
Oregon,6,"490,407",47.62,-,"492,120",47.78,6,"40,207",3.90,-,-,-,-,"1,029,876"
Pennsylvania,27,"2,328,677",50.40,27,"2,205,604",47.73,-,"50,584",1.09,-,-,-,-,"4,620,787"
Rhode Island,4,"227,636",55.36,4,"181,249",44.08,-,479,0.12,-,715,0.17,-,"411,170"
South Carolina,8,"450,825",56.17,8,"346,140",43.13,-,-,-,-,-,-,-,"802,594"
South Dakota,4,"147,068",48.91,-,"151,505",50.39,4,-,-,-,"1,619",0.54,-,"300,678"
Tennessee,10,"825,879",55.94,10,"633,969",42.94,-,"5,004",0.34,-,"1,375",0.09,-,"1,476,346"
Texas,26,"2,082,319",51.14,26,"1,953,300",47.97,-,"20,118",0.49,-,263,0.01,-,"4,071,884"
Utah,4,"182,110",33.65,-,"337,908",62.44,4,"3,907",0.72,-,"2,438",0.45,-,"541,198"
Vermont,3,"81,044",43.14,-,"102,085",54.34,3,"4,001",2.13,-,4,0.00,-,"187,855"
Virginia,12,"813,896",47.96,-,"836,554",49.29,12,-,-,-,"4,648",0.27,-,"1,697,094"
Washington,9,"717,323",46.11,-,"777,732",50.00,8,"36,986",2.38,-,"5,042",0.32,-,"1,555,534"
West Virginia,6,"435,914",58.07,6,"314,760",41.93,-,-,-,-,-,-,-,"750,674"
Wisconsin,11,"1,040,232",49.50,11,"1,004,987",47.83,-,"34,943",1.66,-,"3,814",0.18,-,"2,101,336"
Wyoming,3,"62,239",39.81,-,"92,717",59.30,3,624,0.40,-,89,0.06,-,"156,343"
TOTALS:,538,"40,831,881",50.08,297,"39,148,634",48.02,240,"740,460",0.91,-,"172,557",0.21,-,"81,531,584"
