,,Ronald Reagan:Republican,,,Walter Mondale:Democratic,,,David Bergland:Libertarian,,,State total
State,ev,#,%,ev,#,%,ev,#,%,ev,#
Alabama,9,"872,849",60.54,9,"551,899",38.28,0,"9,504",0.66,0,"1,441,713"
Alaska,3,"138,377",66.65,3,"62,007",29.87,0,"6,378",3.07,0,"207,605"
Arizona,7,"681,416",66.42,7,"333,854",32.54,0,"10,585",1.03,0,"1,025,897"
Arkansas,6,"534,774",60.47,6,"338,646",38.29,0,"2,221",0.25,0,"884,406"
California,47,"5,467,009",57.51,47,"3,922,519",41.27,0,"49,951",0.53,0,"9,505,423"
Colorado,8,"821,818",63.44,8,"454,974",35.12,0,"11,257",0.87,0,"1,295,381"
Connecticut,8,"890,877",60.73,8,"569,597",38.83,0,0,0,0,"1,466,900"
Delaware,3,"152,190",59.78,3,"101,656",39.93,0,268,0.11,0,"254,572"
D.C.,3,"29,009",13.73,0,"180,408",85.38,3,279,0.13,0,"211,288"
Florida,21,"2,730,350",65.32,21,"1,448,816",34.66,0,754,0.02,0,"4,180,051"
Georgia,12,"1,068,722",60.17,12,"706,628",39.79,0,151,0.01,0,"1,776,093"
Hawaii,4,"185,050",55.10,4,"147,154",43.82,0,"2,167",0.65,0,"335,846"
Idaho,4,"297,523",72.36,4,"108,510",26.39,0,"2,823",0.69,0,"411,144"
Illinois,24,"2,707,103",56.17,24,"2,086,499",43.30,0,"10,086",0.21,0,"4,819,088"
Indiana,12,"1,377,230",61.67,12,"841,481",37.68,0,"6,741",0.30,0,"2,233,069"
Iowa,8,"703,088",53.27,8,"605,620",45.89,0,"1,844",0.14,0,"1,319,805"
Kansas,7,"677,296",66.27,7,"333,149",32.60,0,"3,329",0.33,0,"1,021,991"
Kentucky,9,"822,782",60.04,9,"539,589",39.37,0,0,0,0,"1,370,461"
Louisiana,10,"1,037,299",60.77,10,"651,586",38.18,0,"1,876",0.11,0,"1,706,822"
Maine †,2,"336,500",60.83,2,"214,515",38.78,0,0,0,0,"553,144"
Maine-1,1,"175,472",59.90,1,"117,450",40.10,0,0,0,0,"292,922"
Maine-2,1,"161,028",62.39,1,"97,065",37.61,0,0,0,0,"258,093"
Maryland,10,"879,918",52.51,10,"787,935",47.02,0,"5,721",0.34,0,"1,675,873"
Massachusetts,13,"1,310,936",51.22,13,"1,239,606",48.43,0,0,0,0,"2,559,453"
Michigan,20,"2,251,571",59.23,20,"1,529,638",40.24,0,"10,055",0.26,0,"3,801,658"
Minnesota,10,"1,032,603",49.54,0,"1,036,364",49.72,10,"2,996",0.14,0,"2,084,449"
Mississippi,7,"581,477",61.85,7,"352,192",37.46,0,"2,336",0.25,0,"940,192"
Missouri,11,"1,274,188",60.02,11,"848,583",39.98,0,0,0,0,"2,122,771"
Montana,4,"232,450",60.47,4,"146,742",38.18,0,"5,185",1.35,0,"384,377"
Nebraska,5,"460,054",70.55,5,"187,866",28.81,0,"2,079",0.32,0,"652,090"
Nevada,4,"188,770",65.85,4,"91,655",31.97,0,"2,292",0.80,0,"286,667"
New Hampshire,4,"267,051",68.66,4,"120,395",30.95,0,735,0.19,0,"388,954"
New Jersey,16,"1,933,630",60.09,16,"1,261,323",39.20,0,"6,416",0.20,0,"3,217,862"
New Mexico,5,"307,101",59.70,5,"201,769",39.23,0,"4,459",0.87,0,"514,370"
New York,36,"3,664,763",53.84,36,"3,119,609",45.83,0,"11,949",0.18,0,"6,806,810"
North Carolina,13,"1,346,481",61.90,13,"824,287",37.89,0,"3,794",0.17,0,"2,175,361"
North Dakota,3,"200,336",64.84,3,"104,429",33.80,0,703,0.23,0,"308,971"
Ohio,23,"2,678,560",58.90,23,"1,825,440",40.14,0,"5,886",0.13,0,"4,547,619"
Oklahoma,8,"861,530",68.61,8,"385,080",30.67,0,"9,066",0.72,0,"1,255,676"
Oregon,7,"685,700",55.91,7,"536,479",43.74,0,0,0,0,"1,226,527"
Pennsylvania,25,"2,584,323",53.34,25,"2,228,131",45.99,0,"6,982",0.14,0,"4,844,903"
Rhode Island,4,"212,080",51.66,4,"197,106",48.02,0,277,0.07,0,"410,492"
South Carolina,8,"615,539",63.55,8,"344,470",35.57,0,"4,360",0.45,0,"968,540"
South Dakota,3,"200,267",63.00,3,"116,113",36.53,0,0,0,0,"317,867"
Tennessee,11,"990,212",57.84,11,"711,714",41.57,0,"3,072",0.18,0,"1,711,993"
Texas,29,"3,433,428",63.61,29,"1,949,276",36.11,0,0,0,0,"5,397,571"
Utah,5,"469,105",74.50,5,"155,369",24.68,0,"2,447",0.39,0,"629,656"
Vermont,3,"135,865",57.92,3,"95,730",40.81,0,"1,002",0.43,0,"234,561"
Virginia,12,"1,337,078",62.29,12,"796,250",37.09,0,0,0,0,"2,146,635"
Washington,10,"1,051,670",55.82,10,"807,352",42.86,0,"8,844",0.47,0,"1,883,910"
West Virginia,6,"405,483",55.11,6,"328,125",44.60,0,0,0,0,"735,742"
Wisconsin,11,"1,198,800",54.19,11,"995,847",45.02,0,"4,884",0.22,0,"2,212,016"
Wyoming,3,"133,241",70.51,3,"53,370",28.24,0,"2,357",1.25,0,"188,968"
TOTALS:,538,"54,455,472",58.77,525,"37,577,352",40.56,13,"228,111",0.25,0,"92,653,233"
