,,Bill Clinton:Democratic,,,George H.W. Bush:Republican,,,Ross Perot:Independent,,Andre Marrou:Libertarian,,Others,,State Total
State,EV,Vote,%,EV,Vote,%,EV,Vote,%,Vote,%,Vote,%,Vote
Alabama,9,"690,080",40.88,0,"804,283",47.65,9,"183,109",10.85,"5,737",0.34,"4,851",0.29,"1,688,060"
Alaska,3,"78,294",30.29,0,"102,000",39.46,3,"73,481",28.43,"1,378",0.53,"3,353",1.29,"258,506"
Arizona,8,"543,050",36.52,0,"572,086",38.47,8,"353,741",23.79,"6,759",0.45,"11,339",0.76,"1,486,975"
Arkansas,6,"505,823",53.21,6,"337,324",35.48,0,"99,132",10.43,"1,261",0.13,"7,113",0.75,"950,653"
California,54,"5,121,325",46.01,54,"3,630,574",32.61,0,"2,296,006",20.63,"48,139",0.43,"35,677",0.32,"11,131,721"
Colorado,8,"629,681",40.13,8,"562,850",35.87,0,"366,010",23.32,"8,669",0.55,"1,970",0.13,"1,569,180"
Connecticut,8,"682,318",42.21,8,"578,313",35.78,0,"348,771",21.58,"5,391",0.33,"1,539",0.10,"1,616,332"
Delaware,3,"126,055",43.51,3,"102,313",35.31,0,"59,213",20.44,935,0.32,"1,219",0.42,"289,735"
D.C.,3,"192,619",84.64,3,"20,698",9.10,0,"9,681",4.25,467,0.21,"4,107",1.80,"227,572"
Florida,25,"2,072,798",39.00,0,"2,173,310",40.89,25,"1,053,067",19.82,"15,079",0.28,238,0.00,"5,314,392"
Georgia,13,"1,008,966",43.47,13,"995,252",42.88,0,"309,657",13.34,"7,110",0.31,140,0.01,"2,321,125"
Hawaii,4,"179,310",48.09,4,"136,822",36.70,0,"53,003",14.22,"1,119",0.30,"2,588",0.69,"372,842"
Idaho,4,"137,013",28.42,0,"202,645",42.03,4,"130,395",27.04,"1,167",0.24,"10,922",2.27,"482,142"
Illinois,22,"2,453,350",48.58,22,"1,734,096",34.34,0,"840,515",16.64,"9,218",0.18,"12,978",0.26,"5,050,157"
Indiana,12,"848,420",36.79,0,"989,375",42.91,12,"455,934",19.77,"7,936",0.34,"4,206",0.18,"2,305,871"
Iowa,7,"586,353",43.29,7,"504,891",37.27,0,"253,468",18.71,"1,076",0.08,"8,819",0.65,"1,354,607"
Kansas,6,"390,434",33.74,0,"449,951",38.88,6,"312,358",26.99,"4,314",0.37,179,0.02,"1,157,236"
Kentucky,8,"665,104",44.55,8,"617,178",41.34,0,"203,944",13.66,"4,513",0.30,"2,161",0.14,"1,492,900"
Louisiana,9,"815,971",45.58,9,"733,386",40.97,0,"211,478",11.81,"3,155",0.18,"26,027",1.45,"1,790,017"
Maine †,2,"263,420",38.77,2,"206,504",30.39,0,"206,820",30.44,"1,681",0.25,"1,074",0.16,"679,499"
Maine-1,1,"145,191",39.9,1,"115,697",31.8,0,"102,828",28.3,0,0,0,0,"363,716"
Maine-2,1,"118,229",37.8,1,"90,807",29.0,0,"103,992",33.2,0,0,0,0,"313,028"
Maryland,10,"988,571",49.80,10,"707,094",35.62,0,"281,414",14.18,"4,715",0.24,"3,252",0.16,"1,985,046"
Massachusetts,12,"1,318,639",47.54,12,"805,039",29.02,0,"630,731",22.74,"9,021",0.32,"10,234",0.37,"2,773,664"
Michigan,18,"1,871,182",43.77,18,"1,554,940",36.38,0,"824,813",19.30,"10,175",0.24,"13,563",0.32,"4,274,673"
Minnesota,10,"1,020,997",43.48,10,"747,841",31.85,0,"562,506",23.96,"3,373",0.14,"13,230",0.56,"2,347,947"
Mississippi,7,"400,258",40.77,0,"487,793",49.68,7,"85,626",8.72,"2,154",0.22,"5,962",0.61,"981,793"
Missouri,11,"1,053,873",44.07,11,"811,159",33.92,0,"518,741",21.69,"7,497",0.31,295,0.01,"2,391,565"
Montana,3,"154,507",37.63,3,"144,207",35.12,0,"107,225",26.11,986,0.24,"3,686",0.90,"410,611"
Nebraska †,2,"217,344",29.40,0,"344,346",46.58,2,"174,687",23.63,"1,344",0.18,"1,562",0.21,"739,283"
Nebraska-1,1,"80,696",32.6,0,"107,081",43.2,1,"59,974",24.2,0,0,0,0,"247,751"
Nebraska-2,1,"78,701",32.4,0,"115,255",47.5,1,"48,657",20.1,0,0,0,0,"242,613"
Nebraska-3,1,"57,467",23.5,0,"121,342",49.7,1,"65,473",26.8,0,0,0,0,"244,282"
Nevada,4,"189,148",37.36,4,"175,828",34.73,0,"132,580",26.19,"1,835",0.36,"6,927",1.37,"506,318"
New Hampshire,4,"209,040",38.86,4,"202,484",37.64,0,"121,337",22.56,"3,548",0.66,"1,536",0.29,"537,945"
New Jersey,15,"1,436,206",42.95,15,"1,356,865",40.58,0,"521,829",15.61,"6,822",0.20,"21,872",0.65,"3,343,594"
New Mexico,5,"261,617",45.90,5,"212,824",37.34,0,"91,895",16.12,"1,615",0.28,"2,035",0.36,"569,986"
New York,33,"3,444,450",49.72,33,"2,346,649",33.88,0,"1,090,721",15.75,"13,451",0.19,"31,662",0.46,"6,926,933"
North Carolina,14,"1,114,042",42.65,0,"1,134,661",43.44,14,"357,864",13.70,"5,171",0.20,112,0.00,"2,611,850"
North Dakota,3,"99,168",32.18,0,"136,244",44.22,3,"71,084",23.07,416,0.14,"1,221",0.40,"308,133"
Ohio,21,"1,984,942",40.18,21,"1,894,310",38.35,0,"1,036,426",20.98,"7,252",0.15,"17,034",0.34,"4,939,964"
Oklahoma,8,"473,066",34.02,0,"592,929",42.65,8,"319,878",23.01,"4,486",0.32,0,0,"1,390,359"
Oregon,7,"621,314",42.48,7,"475,757",32.53,0,"354,091",24.21,"4,277",0.29,"7,204",0.49,"1,462,643"
Pennsylvania,23,"2,239,164",45.15,23,"1,791,841",36.13,0,"902,667",18.20,"21,477",0.43,"4,661",0.09,"4,959,810"
Rhode Island,4,"213,302",47.04,4,"131,601",29.02,0,"105,045",23.16,571,0.13,"2,959",0.65,"453,478"
South Carolina,8,"479,514",39.88,0,"577,507",48.02,8,"138,872",11.55,"2,719",0.23,"3,915",0.33,"1,202,527"
South Dakota,3,"124,888",37.14,0,"136,718",40.66,3,"73,295",21.80,814,0.24,539,0.16,"336,254"
Tennessee,11,"933,521",47.08,11,"841,300",42.43,0,"199,968",10.09,"1,847",0.09,"6,002",0.30,"1,982,638"
Texas,32,"2,281,815",37.08,0,"2,496,071",40.56,32,"1,354,781",22.01,"19,699",0.32,"1,652",0.03,"6,154,018"
Utah,5,"183,429",24.65,0,"322,632",43.36,5,"203,400",27.34,"1,900",0.26,"32,638",4.39,"743,999"
Vermont,3,"133,592",46.11,3,"88,122",30.42,0,"65,991",22.78,501,0.17,"1,495",0.52,"289,701"
Virginia,13,"1,038,650",40.59,0,"1,150,517",44.97,13,"348,639",13.63,"5,730",0.22,"15,129",0.59,"2,558,665"
Washington,11,"993,039",43.40,11,"731,235",31.96,0,"541,780",23.68,"7,533",0.33,"14,641",0.64,"2,288,228"
West Virginia,5,"331,001",48.41,5,"241,974",35.39,0,"108,829",15.91,"1,873",0.27,0,0,"683,677"
Wisconsin,11,"1,041,066",41.13,11,"930,855",36.78,0,"544,479",21.51,"2,877",0.11,"11,837",0.47,"2,531,114"
Wyoming,3,"68,160",33.98,0,"79,347",39.56,3,"51,263",25.56,844,0.42,973,0.49,"200,587"
TOTALS:,538,"44,909,889",43.01,370,"39,104,545",37.45,168,"19,742,267",18.91,"291,628",0.28,"378,330",0.36,"104,426,659"
