,,Bill Clinton:Democratic,,,Bob Dole:Republican,,,Ross Perot:Reform,,,Ralph Nader:Green,,,Harry Browne:Libertarian,,,Others,,,State Total
State,ev,#,,ev,#,,ev,#,,ev,#,,ev,#,,ev,#,,ev,#
Alabama,9,"662,165",43.16,0,"769,044",50.12,9,"92,149",6.01,0,0,0,0,"5,290",0.34,0,"5,701",0.37,0,"1,534,349"
Alaska,3,"80,380",33.27,0,"122,746",50.80,3,"26,333",10.90,0,"7,597",3.14,0,"2,276",0.94,0,"2,288",0.95,0,"241,620"
Arizona,8,"653,288",46.52,8,"622,073",44.29,0,"112,072",7.98,0,"2,062",0.15,0,"14,358",1.02,0,552,0.04,0,"1,404,405"
Arkansas,6,"475,171",53.74,6,"325,416",36.80,0,"69,884",7.90,0,"3,649",0.41,0,"3,076",0.35,0,"7,066",0.80,0,"884,262"
California,54,"5,119,835",51.10,54,"3,828,380",38.21,0,"697,847",6.96,0,"237,016",2.37,0,"73,600",0.73,0,"62,806",0.63,0,"10,019,484"
Colorado,8,"671,152",44.43,0,"691,848",45.80,8,"99,629",6.59,0,"25,070",1.66,0,"12,392",0.82,0,"10,613",0.70,0,"1,510,704"
Connecticut,8,"735,740",52.83,8,"483,109",34.69,0,"139,523",10.02,0,"24,321",1.75,0,"5,788",0.42,0,"4,133",0.30,0,"1,392,614"
Delaware,3,"140,355",51.80,3,"99,062",36.58,0,"28,719",10.60,0,18,0.01,0,"2,052",0.76,0,639,0.24,0,"270,845"
D.C.,3,"158,220",85.19,3,"17,339",9.34,0,"3,611",1.94,0,"4,780",2.57,0,588,0.32,0,"1,188",0.64,0,"185,726"
Florida,25,"2,546,870",48.02,25,"2,244,536",42.32,0,"483,870",9.12,0,"4,101",0.08,0,"23,965",0.45,0,452,0.01,0,"5,303,794"
Georgia,13,"1,053,849",45.84,0,"1,080,843",47.01,13,"146,337",6.37,0,0,0,0,"17,870",0.78,0,172,0.01,0,"2,299,071"
Hawaii,4,"205,012",56.93,4,"113,943",31.64,0,"27,358",7.60,0,"10,386",2.88,0,"2,493",0.69,0,928,0.26,0,"360,120"
Idaho,4,"165,443",33.65,0,"256,595",52.18,4,"62,518",12.71,0,0,0,0,"3,325",0.68,0,"3,838",0.78,0,"491,719"
Illinois,22,"2,341,744",54.32,22,"1,587,021",36.81,0,"346,408",8.03,0,"1,447",0.03,0,"22,548",0.52,0,"12,223",0.29,0,"4,311,391"
Indiana,12,"887,424",41.55,0,"1,006,693",47.13,12,"224,299",10.50,0,"1,121",0.05,0,"15,632",0.73,0,673,0.03,0,"2,135,842"
Iowa,7,"620,258",50.26,7,"492,644",39.92,0,"105,159",8.52,0,"6,550",0.53,0,"2,315",0.19,0,"7,149",0.58,0,"1,234,075"
Kansas,6,"387,659",36.08,0,"583,245",54.29,6,"92,639",8.62,0,914,0.09,0,"4,557",0.42,0,"5,286",0.49,0,"1,074,300"
Kentucky,8,"636,614",45.84,8,"623,283",44.88,0,"120,396",8.67,0,701,0.05,0,"4,009",0.29,0,"3,705",0.27,0,"1,388,708"
