,,George W. Bush:Republican,,,Al Gore:Democratic,,,Ralph Nader:Green,,,Pat Buchanan:Reform,,,Harry Browne:Libertarian,,,Howard Phillips:Constitution,,,John Hagelin:Natural Law,,,Others,,,State Total
State,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#,,EV,#
Alabama,9,"941,173",56.48,9,"692,611",41.57,0,"18,323",1.10,0,"6,351",0.38,0,"5,893",0.35,0,775,0.05,0,447,0.03,0,699,0.04,0,"1,666,272"
Alaska,3,"167,398",58.62,3,"79,004",27.67,0,"28,747",10.07,0,"5,192",1.82,0,"2,636",0.92,0,596,0.21,0,919,0.32,0,"1,068",0.37,0,"285,560"
Arizona *,8,"781,652",51.02,8,"685,341",44.73,0,"45,645",2.98,0,"12,373",0.81,0,0,0,0,110,0.01,0,"1,120",0.07,0,"5,775",0.38,0,"1,532,016"
Arkansas,6,"472,940",51.31,6,"422,768",45.86,0,"13,421",1.46,0,"7,358",0.80,0,"2,781",0.30,0,"1,415",0.15,0,"1,098",0.12,0,0,0,0,"921,781"
California,54,"4,567,429",41.65,0,"5,861,203",53.45,54,"418,707",3.82,0,"44,987",0.41,0,"45,520",0.42,0,"17,042",0.16,0,"10,934",0.10,0,34,0.00,0,"10,965,856"
Colorado,8,"883,748",50.75,8,"738,227",42.39,0,"91,434",5.25,0,"10,465",0.60,0,"12,799",0.73,0,"1,319",0.08,0,"2,240",0.13,0,"1,136",0.07,0,"1,741,368"
Connecticut,8,"561,094",38.44,0,"816,015",55.91,8,"64,452",4.42,0,"4,731",0.32,0,"3,484",0.24,0,"9,695",0.66,0,40,0.00,0,14,0.00,0,"1,459,525"
Delaware,3,"137,288",41.90,0,"180,068",54.96,3,"8,307",2.54,0,777,0.24,0,774,0.24,0,208,0.06,0,107,0.03,0,93,0.03,0,"327,622"
Florida,25,"2,912,790",48.85,25,"2,912,253",48.84,0,"97,488",1.63,0,"17,484",0.29,0,"16,415",0.28,0,"1,371",0.02,0,"2,281",0.04,0,"3,028",0.05,0,"5,963,110"
Georgia,13,"1,419,720",54.67,13,"1,116,230",42.98,0,"13,432",0.52,0,"10,926",0.42,0,"36,332",1.40,0,140,0.01,0,0,0,0,24,0.00,0,"2,596,804"
Hawaii,4,"137,845",37.46,0,"205,286",55.79,4,"21,623",5.88,0,"1,071",0.29,0,"1,477",0.40,0,343,0.09,0,306,0.08,0,0,0,0,"367,951"
Idaho,4,"336,937",67.17,4,"138,637",27.64,0,"12,292",2.45,0,"7,615",1.52,0,"3,488",0.70,0,"1,469",0.29,0,"1,177",0.23,0,6,0.00,0,"501,621"
Illinois,22,"2,019,421",42.58,0,"2,589,026",54.60,22,"103,759",2.19,0,"16,106",0.34,0,"11,623",0.25,0,57,0.00,0,"2,127",0.04,0,4,0.00,0,"4,742,123"
Indiana,12,"1,245,836",56.65,12,"901,980",41.01,0,"18,531",0.84,0,"16,959",0.77,0,"15,530",0.71,0,200,0.01,0,167,0.01,0,99,0.00,0,"2,199,302"
Iowa,7,"634,373",48.22,0,"638,517",48.54,7,"29,374",2.23,0,"5,731",0.44,0,"3,209",0.24,0,613,0.05,0,"2,281",0.17,0,"1,465",0.11,0,"1,315,563"
Kansas,6,"622,332",58.04,6,"399,276",37.24,0,"36,086",3.37,0,"7,370",0.69,0,"4,525",0.42,0,"1,254",0.12,0,"1,375",0.13,0,0,0,0,"1,072,218"
Kentucky,8,"872,492",56.50,8,"638,898",41.37,0,"23,192",1.50,0,"4,173",0.27,0,"2,896",0.19,0,923,0.06,0,"1,533",0.10,0,80,0.01,0,"1,544,187"
Louisiana,9,"927,871",52.55,9,"792,344",44.88,0,"20,473",1.16,0,"14,356",0.81,0,"2,951",0.17,0,"5,483",0.31,0,"1,075",0.06,0,"1,103",0.06,0,"1,765,656"
Maine,2,"286,616",43.97,0,"319,951",49.09,2,"37,127",5.70,0,"4,443",0.68,0,"3,074",0.47,0,579,0.09,0,0,0,0,27,0.00,0,"651,817"
Maine -1,1,"148,618",42.59,0,"176,293",50.52,1,"20,297",5.82,0,"1,994",0.57,0,"1,479",0.42,0,253,0.07,0,0,0,0,17,0.00,0,"348,951"
Maine -2,1,"137,998",45.56,0,"143,658",47.43,1,"16,830",5.56,0,"2,449",0.81,0,"1,595",0.53,0,326,0.11,0,0,0,0,10,0.00,0,"302,866"
Maryland,10,"813,797",40.18,0,"1,145,782",56.57,10,"53,768",2.65,0,"4,248",0.21,0,"5,310",0.26,0,919,0.05,0,176,0.01,0,"1,480",0.07,0,"2,025,480"
Massachusetts,12,"878,502",32.50,0,"1,616,487",59.80,12,"173,564",6.42,0,"11,149",0.41,0,"16,366",0.61,0,0,0,0,"2,884",0.11,0,"4,032",0.15,0,"2,702,984"
Michigan,18,"1,953,139",46.15,0,"2,170,418",51.28,18,"84,165",1.99,0,"1,851",0.04,0,"16,711",0.39,0,"3,791",0.09,0,"2,426",0.06,0,0,0,0,"4,232,501"
Minnesota,10,"1,109,659",45.50,0,"1,168,266",47.91,10,"126,696",5.20,0,"22,166",0.91,0,"5,282",0.22,0,"3,272",0.13,0,"2,294",0.09,0,"1,050",0.04,0,"2,438,685"
Mississippi,7,"572,844",57.62,7,"404,614",40.70,0,"8,122",0.82,0,"2,265",0.23,0,"2,009",0.20,0,"3,267",0.33,0,450,0.05,0,613,0.06,0,"994,184"
Missouri,11,"1,189,924",50.42,11,"1,111,138",47.08,0,"38,515",1.63,0,"9,818",0.42,0,"7,436",0.32,0,"1,957",0.08,0,"1,104",0.05,0,0,0,0,"2,359,892"
Montana,3,"240,178",58.44,3,"137,126",33.36,0,"24,437",5.95,0,"5,697",1.39,0,"1,718",0.42,0,"1,155",0.28,0,675,0.16,0,11,0.00,0,"410,997"
Nebraska,2,"433,862",62.25,2,"231,780",33.25,0,"24,540",3.52,0,"3,646",0.52,0,"2,245",0.32,0,468,0.07,0,478,0.07,0,0,0,0,"697,019"
Nebraska -1,1,"142,562",58.90,1,"86,946",35.92,0,"10,085",4.17,0,"1,324",0.55,0,754,0.31,0,167,0.07,0,185,0.08,0,0,0,0,"242,023"
Nebraska -2,1,"131,485",56.92,1,"88,975",38.52,0,"8,495",3.68,0,845,0.37,0,925,0.40,0,146,0.06,0,141,0.06,0,0,0,0,"231,012"
Nebraska -3,1,"159,815",71.35,1,"55,859",24.94,0,"5,960",2.66,0,"1,477",0.66,0,566,0.25,0,155,0.07,0,152,0.07,0,0,0,0,"223,984"
Nevada,4,"301,575",49.52,4,"279,978",45.98,0,"15,008",2.46,0,"4,747",0.78,0,"3,311",0.54,0,621,0.10,0,415,0.07,0,"3,315",0.54,0,"608,970"
New Hampshire,4,"273,559",48.07,4,"266,348",46.80,0,"22,198",3.90,0,"2,615",0.46,0,"2,757",0.48,0,328,0.06,0,55,0.01,0,"1,221",0.21,0,"569,081"
New Jersey,15,"1,284,173",40.29,0,"1,788,850",56.13,15,"94,554",2.97,0,"6,989",0.22,0,"6,312",0.20,0,"1,409",0.04,0,"2,215",0.07,0,"2,724",0.09,0,"3,187,226"
New Mexico,5,"286,417",47.85,0,"286,783",47.91,5,"21,251",3.55,0,"1,392",0.23,0,"2,058",0.34,0,343,0.06,0,361,0.06,0,0,0,0,"598,605"
New York,33,"2,403,374",35.23,0,"4,107,697",60.21,33,"244,030",3.58,0,"31,599",0.46,0,"7,649",0.11,0,"1,498",0.02,0,"24,361",0.36,0,"1,791",0.03,0,"6,821,999"
North Carolina,14,"1,631,163",56.03,14,"1,257,692",43.20,0,0,0,0,"8,874",0.30,0,"12,307",0.42,0,0,0,0,0,0,0,"1,226",0.04,0,"2,911,262"
North Dakota,3,"174,852",60.66,3,"95,284",33.06,0,"9,486",3.29,0,"7,288",2.53,0,660,0.23,0,373,0.13,0,313,0.11,0,0,0,0,"288,256"
Ohio,21,"2,351,209",49.97,21,"2,186,190",46.46,0,"117,857",2.50,0,"26,724",0.57,0,"13,475",0.29,0,"3,823",0.08,0,"6,169",0.13,0,10,0.00,0,"4,705,457"
Oklahoma,8,"744,337",60.31,8,"474,276",38.43,0,0,0,0,"9,014",0.73,0,"6,602",0.53,0,0,0,0,0,0,0,0,0,0,"1,234,229"
