,,George W. Bush:Republican,,,John Kerry:Democratic,,,Ralph Nader:Independent / Reform,,,Michael Badnarik:Libertarian,,,Michael Peroutka:Constitution,,,David Cobb:Green,,,Others,,,State Total
State,EV,#,%,EV,#,%,EV,#,%,EV,#,%,EV,#,%,EV,#,%,EV,#,%,EV,#
Alabama,9,"1,176,394",62.46,9,"693,933",36.84,0,"6,701",0.36,0,"3,529",0.19,0,"1,994",0.11,0,0,0.00,0,898,0.05,0,"1,883,449"
Alaska,3,"190,889",61.07,3,"111,025",35.52,0,"5,069",1.62,0,"1,675",0.54,0,"2,092",0.67,0,"1,058",0.34,0,790,0.25,0,"312,598"
Arizona,10,"1,104,294",54.87,10,"893,524",44.40,0,"2,773",0.14,0,"11,856",0.59,0,0,0.00,0,138,0.01,0,0,0.00,0,"2,012,585"
Arkansas,6,"572,898",54.31,6,"469,953",44.55,0,"6,171",0.58,0,"2,352",0.22,0,"2,083",0.20,0,"1,488",0.14,0,0,0.00,0,"1,054,945"
California,55,"5,509,826",44.36,0,"6,745,485",54.31,55,"20,714",0.17,0,"50,165",0.40,0,"26,645",0.21,0,"40,771",0.33,0,"27,747",0.22,0,"12,421,353"
Colorado,9,"1,101,255",51.69,9,"1,001,732",47.02,0,"12,718",0.60,0,"7,664",0.36,0,"2,562",0.12,0,"1,591",0.07,0,"2,808",0.13,0,"2,130,330"
Connecticut,7,"693,826",43.95,0,"857,488",54.31,7,"12,969",0.82,0,"3,367",0.21,0,"1,543",0.10,0,"9,564",0.61,0,12,0.00,0,"1,578,769"
Delaware,3,"171,660",45.75,0,"200,152",53.35,3,"2,153",0.57,0,586,0.16,0,289,0.08,0,250,0.07,0,100,0.03,0,"375,190"
District of Columbia,3,"21,256",9.34,0,"202,970",89.18,3,"1,485",0.65,0,502,0.22,0,0,0.00,0,737,0.32,0,636,0.28,0,"227,586"
Florida,27,"3,964,522",52.10,27,"3,583,544",47.09,0,"32,971",0.43,0,"11,996",0.16,0,"6,626",0.09,0,"3,917",0.05,0,"6,234",0.08,0,"7,609,810"
Georgia,15,"1,914,254",57.97,15,"1,366,149",41.37,0,"2,231",0.07,0,"18,387",0.56,0,580,0.02,0,228,0.01,0,46,0.00,0,"3,301,875"
Hawaii,4,"194,191",45.26,0,"231,708",54.01,4,0,0.00,0,"1,377",0.32,0,0,0.00,0,"1,737",0.40,0,0,0.00,0,"429,013"
Idaho,4,"409,235",68.38,4,"181,098",30.26,0,"1,115",0.19,0,"3,844",0.64,0,"3,084",0.52,0,58,0.01,0,13,0.00,0,"598,447"
Illinois,21,"2,345,946",44.48,0,"2,891,550",54.82,21,"3,571",0.07,0,"32,442",0.62,0,440,0.01,0,241,0.00,0,132,0.00,0,"5,274,322"
Indiana,11,"1,479,438",59.94,11,"969,011",39.26,0,"1,328",0.05,0,"18,058",0.73,0,0,0.00,0,102,0.00,0,65,0.00,0,"2,468,002"
Iowa,7,"751,957",49.90,7,"741,898",49.23,0,"5,973",0.40,0,"2,992",0.20,0,"1,304",0.09,0,"1,141",0.08,0,"1,643",0.11,0,"1,506,908"
Kansas,6,"736,456",62.00,6,"434,993",36.62,0,"9,348",0.79,0,"4,013",0.34,0,"2,899",0.24,0,33,0.00,0,14,0.00,0,"1,187,756"
Kentucky,8,"1,069,439",59.55,8,"712,733",39.69,0,"8,856",0.49,0,"2,619",0.15,0,"2,213",0.12,0,0,0.00,0,22,0.00,0,"1,795,882"
