,Barack Obama:Democratic,,,Mitt Romney:Republican,,,Gary Johnson:Libertarian,,,Jill Stein:Green,,,Others,,,Total
State,#,%,EV,#,%,EV,#,%,EV,#,%,EV,#,%,EV,#
Alabama,"795,696",38.36,0,"1,255,925",60.55,9,"12,328",0.59,0,"3,397",0.16,0,"6,992",0.3,0,"2,074,338"
Alaska,"122,640",40.81,0,"164,676",54.80,3,"7,392",2.46,0,"2,917",0.97,0,"2,870",1.0,0,"300,495"
Arizona,"1,025,232",44.59,0,"1,233,654",53.65,11,"32,100",1.39,0,"7,816",0.34,0,452,nil,0,"2,299,254"
Arkansas,"394,409",36.88,0,"647,744",60.57,6,"16,276",1.52,0,"9,305",0.87,0,"1,734",0.16,0,"1,069,468"
California,"7,854,285",60.24,55,"4,839,958",37.12,0,"143,221",1.10,0,"85,638",0.66,0,"115,445",0.88,0,"13,038,547"
Colorado,"1,323,102",51.49,9,"1,185,243",46.13,0,"35,545",1.38,0,"7,508",0.29,0,"18,121",0.71,0,"2,569,518"
Connecticut,"905,083",58.06,7,"634,892",40.73,0,"12,580",0.81,0,863,0.06,0,"5,542",0.36,0,"1,558,960"
Delaware,"242,584",58.61,3,"165,484",39.98,0,"3,882",0.94,0,"1,940",0.47,0,31,nil,0,"413,921"
Florida,"4,237,756",50.01,29,"4,163,447",49.13,0,"44,726",0.5,0,"8,947",0.1,0,"19,303",0.2,0,"8,474,179"
Georgia,"1,773,827",45.48,0,"2,078,688",53.30,16,"45,324",1.2,0,"1,516",nil,0,695,nil,0,"3,900,050"
Hawai,"306,658",70.55,4,"121,015",27.84,0,"3,840",0.9,0,"3,184",0.7,0,0,0,0,"434,697"
Idaho,"212,787",32.40,0,"420,911",64.09,4,"9,453",1.5,0,"4,402",0.7,0,"4,721",0.7,0,"652,274"
Illinois,"3,019,512",57.60,20,"2,135,216",40.73,0,"56,229",1.1,0,"30,222",0.6,0,835,nil,0,"5,242,014"
Indiana,"1,152,887",43.93,0,"1,420,543",54.13,11,"50,111",1.9,0,625,nil,0,368,nil,0,"2,624,534"
Iowa,"822,544",51.99,6,"730,617",46.18,0,"12,926",0.8,0,"3,769",0.2,0,"12,324",0.8,0,"1,582,180"
Kansas,"440,726",38.05,0,"692,634",59.66,6,"20,456",1.8,0,714,0.1,0,"5,441",0.5,0,"1,159,971"
Kentucky,"679,370",37.80,0,"1,087,190",60.49,8,"17,063",1.0,0,"6,337",0.4,0,"7,252",0.4,0,"1,797,212"
Louisiana,"809,141",40.58,0,"1,152,262",57.78,8,"18,157",0.9,0,"6,978",0.4,0,"7,527",0.4,0,"1,994,065"
Maine,"401,306",56.27,2,"292,276",40.98,0,"9,352",1.3,0,"8,119",1.1,0,"2,127",0.3,0,"713,180"
Maine ME-1,"223,035",59.57,1,"142,937",38.18,0,"4,501",1.2,0,"3,946",1.1,0,0,0,0,"374,149"
Maine ME-2,"177,998",52.94,1,"149,215",44.38,0,"4,843",1.4,0,"4,170",1.2,0,0,0,0,"336,226"
Maryland,"1,677,844",61.97,10,"971,869",35.90,0,"30,195",1.1,0,"17,110",0.6,0,"10,309",0.4,0,"2,707,327"
Massachusetts,"1,921,290",60.65,11,"1,188,314",37.51,0,"30,920",1.0,0,"20,691",0.7,0,"6,552",0.2,0,"3,167,767"
Michigan,"2,564,569",54.21,16,"2,115,256",44.71,0,"7,774",0.2,0,"21,897",0.5,0,"21,465",0.5,0,"4,730,961"
Minnesota,"1,546,167",52.65,10,"1,320,225",44.96,0,"35,098",1.2,0,"13,023",0.4,0,"22,048",0.8,0,"2,936,561"
Mississippi,"562,949",43.79,0,"710,746",55.29,6,"6,676",0.5,0,"1,588",0.1,0,"3,625",0.3,0,"1,285,584"
Missouri,"1,223,796",44.38,0,"1,482,440",53.76,10,"43,151",1.6,0,0,0,0,"7,936",0.3,0,"2,757,323"
Montana,"201,839",41.70,0,"267,928",55.35,3,"14,165",2.9,0,0,0,0,116,nil,0,"484,048"
Nebraska,"302,081",38.03,0,"475,064",59.80,2,"11,109",1.4,0,0,0,0,"6,125",0.8,0,"794,379"
Nebraska NE-1,"108,082",40.83,0,"152,021",57.43,1,"3,847",1.2,0,0,0,0,762,0.3,0,"264,712"
Nebraska NE-2,"121,889",45.70,0,"140,976",52.85,1,"3,393",1.3,0,0,0,0,469,0.2,0,"266,727"
Nebraska NE-3,"72,110",27.82,0,"182,067",70.23,1,"3,869",1.5,0,0,0,0,"1,177",0.5,0,"259,223"
Nevad,"531,373",52.36,6,"463,567",45.68,0,"10,968",1.1,0,0,0,0,"9,010",0.9,0,"1,014,918"
New Hampshire,"369,561",51.98,4,"329,918",46.40,0,"8,212",1.2,0,324,0.1,0,"2,957",0.4,0,"710,972"
New Jersey,"2,125,101",58.38,14,"1,477,568",40.59,0,"21,045",0.6,0,"9,888",0.3,0,"6,690",0.2,0,"3,640,292"
New Mexico,"415,335",52.99,5,"335,788",42.84,0,"27,788",3.6,0,"2,691",0.3,0,"2,156",0.3,0,"783,758"
New York,"4,485,741",63.35,29,"2,490,431",35.17,0,"47,256",0.7,0,"39,982",0.6,0,"17,749",0.3,0,"7,081,159"
North Carolina,"2,178,391",48.35,0,"2,270,395",50.39,15,"44,515",1.0,0,0,0,0,"12,071",0.3,0,"4,505,372"
North Dakota,"124,827",38.70,0,"188,163",58.32,3,"5,231",1.6,0,"1,361",0.4,0,"3,045",0.9,0,"322,627"
Ohio,"2,827,709",50.67,18,"2,661,437",47.69,0,"49,493",0.9,0,"18,573",0.3,0,"23,635",0.4,0,"5,580,847"
Oklahoma,"443,547",33.23,0,"891,325",66.77,7,0,0,0,0,0,0,0,0,0,"1,334,872"
Oregon,"970,488",54.24,7,"754,175",42.15,0,"24,089",1.4,0,"19,427",1.1,0,"21,091",1.2,0,"1,789,270"
Pennsylvania,"2,990,274",51.97,20,"2,680,434",46.59,0,"49,991",0.9,0,"21,341",0.4,0,"11,630",0.2,0,"5,753,670"
Rhode Island,"279,677",62.70,4,"157,204",35.24,0,"4,388",1.0,0,"2,421",0.5,0,"2,359",0.5,0,"446,049"
South Carolina,"865,941",44.09,0,"1,071,645",54.56,9,"16,321",0.8,0,"5,446",0.3,0,"4,765",0.2,0,"1,964,118"
South Dakota,"145,039",39.87,0,"210,610",57.89,3,"5,795",1.6,0,0,0,0,"2,371",0.7,0,"363,815"
Tennessee,"960,709",39.08,0,"1,462,330",59.48,11,"18,623",0.8,0,"6,515",0.3,0,"10,400",0.4,0,"2,458,577"
Texas,"3,308,124",41.38,0,"4,569,843",57.17,38,"88,580",1.1,0,"24,657",0.3,0,"2,647",nil,0,"7,993,851"
Utah,"251,813",24.69,0,"740,600",72.62,6,"12,572",1.2,0,"3,817",0.4,0,"8,638",0.9,0,"1,017,440"
Vermont,"199,239",66.57,3,"92,698",30.97,0,"3,487",1.2,0,594,0.2,0,"3,272",1.1,0,"299,290"
Virginia,"1,971,820",51.16,13,"1,822,522",47.28,0,"31,216",0.8,0,"8,627",0.2,0,"20,304",0.5,0,"3,854,489"
Washington,"1,755,396",56.16,12,"1,290,670",41.29,0,"42,202",1.4,0,"20,928",0.7,0,"16,320",0.5,0,"3,125,516"
West Virginia,"238,269",35.54,0,"417,655",62.30,5,"6,302",0.9,0,"4,406",0.7,0,"3,806",0.6,0,"670,438"
Wisconsin,"1,620,985",52.83,10,"1,407,966",45.89,0,"20,439",0.7,0,"7,665",0.3,0,"11,379",0.4,0,"3,068,434"
Wyoming,"69,286",27.82,0,"170,962",68.64,3,"5,326",2.1,0,0,0,0,"3,487",1.4,0,"249,061"
U.S. Total,"65,915,795",51.06,332,"60,933,504",47.20,206,"1,275,971",1.0,0,"469,627",0.4,0,"490,510",0.4,0,"129,085,410"
