,Hillary Clinton:Democratic,,,Donald Trump:Republican,,,Gary Johnson:Libertarian,,,Jill Stein:Green,,,Evan McMullin:Independent,,,Others,,,Total votes
State,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Total votes
Alabama,"729,547",34.36,0,"1,318,255",62.08,9,"44,467",2.09,0,"9,391",0.44,0,0,0,0,"21,712",1.02,0,"2,123,372"
Alaska,"116,454",36.55,0,"163,387",51.28,3,"18,725",5.88,0,"5,735",1.80,0,0,0,0,"14,307",4.49,0,"318,608"
Arizona,"1,161,167",44.58,0,"1,252,401",48.08,11,"106,327",4.08,0,"34,345",1.32,0,"17,449",0.67,0,"32,968",1.27,0,"2,604,657"
Arkansas,"380,494",33.65,0,"684,872",60.57,6,"29,949",2.64,0,"9,473",0.84,0,"13,176",1.17,0,"12,712",1.12,0,"1,130,676"
California,"8,753,788",61.73,55,"4,483,810",31.62,0,"478,500",3.37,0,"278,657",1.96,0,"39,596",0.28,0,"147,244",1.04,0,"14,181,595"
Colorado,"1,338,870",48.16,9,"1,202,484",43.25,0,"144,121",5.18,0,"38,437",1.38,0,"28,917",1.04,0,"27,418",0.99,0,"2,780,247"
Connecticut,"897,572",54.57,7,"673,215",40.93,0,"48,676",2.96,0,"22,841",1.39,0,"2,108",0.13,0,508,0.03,0,"1,644,920"
Delaware,"235,603",53.09,3,"185,127",41.72,0,"14,757",3.32,0,"6,103",1.37,0,706,0.16,0,"1,518",0.34,0,"443,814"
District of Columbia,"282,830",90.86,3,"12,723",4.09,0,"4,906",1.57,0,"4,258",1.36,0,0,0,0,"6,551",2.52,0,"311,268"
Florida,"4,504,975",47.82,0,"4,617,886",49.02,29,"207,043",2.20,0,"64,399",0.68,0,0,0,0,"25,736",0.28,0,"9,420,039"
Georgia,"1,877,963",45.64,0,"2,089,104",50.77,16,"125,306",3.05,0,"7,674",0.19,0,"13,017",0.32,0,"1,668",0.04,0,"4,114,732"
Hawaii,"266,891",62.22,3,"128,847",30.03,0,"15,954",3.72,0,"12,737",2.97,0,0,0,0,"4,508",1.05,1,"428,937"
Idaho,"189,765",27.49,0,"409,055",59.26,4,"28,331",4.10,0,"8,496",1.23,0,"46,476",6.73,0,"8,132",1.18,0,"690,255"
Illinois,"3,090,729",55.83,20,"2,146,015",38.76,0,"209,596",3.79,0,"76,802",1.39,0,"11,655",0.21,0,"1,627",0.03,0,"5,536,424"
Indiana,"1,033,126",37.77,0,"1,557,286",56.94,11,"133,993",4.90,0,"7,841",0.29,0,0,0,0,"2,712",0.10,0,"2,734,958"
Iowa,"653,669",41.74,0,"800,983",51.15,6,"59,186",3.78,0,"11,479",0.73,0,"12,366",0.79,0,"28,348",1.81,0,"1,566,031"
Kansas,"427,005",36.05,0,"671,018",56.65,6,"55,406",4.68,0,"23,506",1.98,0,"6,520",0.55,0,947,0.08,0,"1,184,402"
Kentucky,"628,854",32.68,0,"1,202,971",62.52,8,"53,752",2.79,0,"13,913",0.72,0,"22,780",1.18,0,"1,879",0.10,0,"1,924,149"
Louisiana,"780,154",38.45,0,"1,178,638",58.09,8,"37,978",1.87,0,"14,031",0.69,0,"8,547",0.42,0,"9,684",0.48,0,"2,029,032"
Maine,"357,735",47.83,2,"335,593",44.87,0,"38,105",5.09,0,"14,251",1.91,0,"1,887",0.25,0,356,0.05,0,"747,927"
ME-1,"212,774",53.96,1,"154,384",39.15,0,"18,592",4.71,0,"7,563",1.92,0,807,0.20,0,209,0.05,0,"394,329"
ME-2,"144,817",40.98,0,"181,177",51.26,1,"19,510",5.52,0,"6,685",1.89,0,"1,080",0.31,0,147,0.04,0,"353,416"
Maryland,"1,677,928",60.33,10,"943,169",33.91,0,"79,605",2.86,0,"35,945",1.29,0,"9,630",0.35,0,"35,169",1.26,0,"2,781,446"
Massachusetts,"1,995,196",60.01,11,"1,090,893",32.81,0,"138,018",4.15,0,"47,661",1.43,0,"2,719",0.08,0,"50,559",1.52,0,"3,325,046"
Michigan,"2,268,839",47.27,0,"2,279,543",47.50,16,"172,136",3.59,0,"51,463",1.07,0,"8,177",0.17,0,"19,126",0.40,0,"4,799,284"
Minnesota,"1,367,716",46.44,10,"1,322,951",44.92,0,"112,972",3.84,0,"36,985",1.26,0,"53,076",1.80,0,"51,113",1.74,0,"2,944,813"
Mississippi,"485,131",40.06,0,"700,714",57.86,6,"14,435",1.19,0,"3,731",0.31,0,0,0,0,"5,346",0.44,0,"1,209,357"
Missouri,"1,071,068",38.14,0,"1,594,511",56.77,10,"97,359",3.47,0,"25,419",0.91,0,"7,071",0.25,0,"13,177",0.47,0,"2,808,605"
Montana,"177,709",35.75,0,"279,240",56.17,3,"28,037",5.64,0,"7,970",1.60,0,"2,297",0.46,0,"1,894",0.38,0,"497,147"
Nebraska,"284,494",33.70,0,"495,961",58.75,2,"38,946",4.61,0,"8,775",1.04,0,0,0,0,"16,051",1.90,0,"844,227"
NE-1,"100,132",35.46,0,"158,642",56.18,1,"14,033",4.97,0,"3,374",1.19,0,0,0,0,"6,181",2.19,0,"282,338"
NE-2,"131,030",44.92,0,"137,564",47.16,1,"13,245",4.54,0,"3,347",1.15,0,0,0,0,"6,494",2.23,0,"291,680"
NE-3,"53,332",19.73,0,"199,755",73.92,1,"11,668",4.32,0,"2,054",0.76,0,0,0,0,"3,451",1.28,0,"270,109"
Nevada,"539,260",47.92,6,"512,058",45.50,0,"37,384",3.29,0,0,0,0,0,0,0,"36,683",3.23,0,"1,125,385"
New Hampshire,"348,526",46.98,4,"345,790",46.61,0,"30,777",4.15,0,"6,496",0.88,0,"1,064",0.14,0,"11,643",1.24,0,"744,296"
New Jersey,"2,148,278",55.45,14,"1,601,933",41.35,0,"72,477",1.87,0,"37,772",0.98,0,0,0,0,"13,586",0.35,0,"3,874,046"
New Mexico,"385,234",48.26,5,"319,667",40.04,0,"74,541",9.34,0,"9,879",1.24,0,"5,825",0.73,0,"3,173",0.40,0,"798,319"
New York,"4,556,124",59.01,29,"2,819,534",36.52,0,"176,598",2.29,0,"107,934",1.40,0,"10,373",0.13,0,"50,890",0.66,0,"7,721,453"
North Carolina,"2,189,316",46.17,0,"2,362,631",49.83,15,"130,126",2.74,0,"12,105",0.26,0,0,0,0,"47,386",1.00,0,"4,741,564"
North Dakota,"93,758",27.23,0,"216,794",62.96,3,"21,434",6.22,0,"3,780",1.10,0,0,0,0,"8,594",2.49,0,"344,360"
Ohio,"2,394,164",43.56,0,"2,841,005",51.69,18,"174,498",3.17,0,"46,271",0.84,0,"12,574",0.23,0,"27,975",0.51,0,"5,496,487"
Oklahoma,"420,375",28.93,0,"949,136",65.32,7,"83,481",5.75,0,0,0,0,0,0,0,0,0,0,"1,452,992"
Oregon,"1,002,106",50.07,7,"782,403",39.09,0,"94,231",4.71,0,"50,002",2.50,0,0,0,0,"72,594",3.63,0,"2,001,336"
Pennsylvania,"2,926,441",47.46,0,"2,970,733",48.18,20,"146,715",2.38,0,"49,941",0.81,0,"6,472",0.11,0,"65,176",1.06,0,"6,165,478"
Rhode Island,"252,525",54.41,4,"180,543",38.90,0,"14,746",3.18,0,"6,220",1.34,0,516,0.11,0,"9,594",2.07,0,"464,144"
South Carolina,"855,373",40.67,0,"1,155,389",54.94,9,"49,204",2.34,0,"13,034",0.62,0,"21,016",1.00,0,"9,011",0.43,0,"2,103,027"
South Dakota,"117,458",31.74,0,"227,721",61.53,3,"20,850",5.63,0,0,0,0,0,0,0,"4,064",1.10,0,"370,093"
Tennessee,"870,695",34.72,0,"1,522,925",60.72,11,"70,397",2.81,0,"15,993",0.64,0,"11,991",0.48,0,"16,026",0.64,0,"2,508,027"
Texas,"3,877,868",43.24,0,"4,685,047",52.23,36,"283,492",3.16,0,"71,558",0.80,0,"42,366",0.47,0,"8,895",0.10,2,"8,969,226"
Utah,"310,676",27.46,0,"515,231",45.54,6,"39,608",3.50,0,"9,438",0.83,0,"243,690",21.54,0,"12,787",1.13,0,"1,131,430"
Vermont,"178,573",56.68,3,"95,369",30.27,0,"10,078",3.20,0,"6,758",2.14,0,639,0.20,0,"23,650",7.51,0,"315,067"
Virginia,"1,981,473",49.73,13,"1,769,443",44.41,0,"118,274",2.97,0,"27,638",0.69,0,"54,054",1.36,0,"33,749",0.85,0,"3,984,631"
Washington,"1,742,718",52.54,8,"1,221,747",36.83,0,"160,879",4.85,0,"58,417",1.76,0,0,0,0,"133,258",4.02,4,"3,317,019"
West Virginia,"188,794",26.43,0,"489,371",68.50,5,"23,004",3.22,0,"8,075",1.13,0,"1,104",0.15,0,"4,075",0.57,0,"714,423"
Wisconsin,"1,382,536",46.45,0,"1,405,284",47.22,10,"106,674",3.58,0,"31,072",1.04,0,"11,855",0.40,0,"38,729",1.30,0,"2,976,150"
Wyoming,"55,973",21.88,0,"174,419",68.17,3,"13,287",5.19,0,"2,515",0.98,0,0,0,0,"9,655",3.78,0,"255,849"
Total,"65,853,516",48.18,227,"62,984,825",46.09,304,"4,489,221",3.28,0,"1,457,216",1.07,0,"731,788",0.54,0,"1,152,671",0.84,7,"136,669,237"
