,,Biden/Harris:Democratic,,,Trump/Pence:Republican,,,Jorgensen/Cohen:Libertarian,,,Hawkins/Walker:Green,,,Others,,Total votes
State,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,Votes,%,EV,
Alabama,"849,624",36.57,0,"1,441,170",62.03,9,"25,176",1.08,0,[ o ],[ o ],0,"7,312",0.31,0,"2,323,282"
Alaska,"153,778",42.77,0,"189,951",52.83,3,"8,897",2.47,0,[ p ],[ p ],0,"6,904",1.92,0,"359,530"
Arizona,"1,672,143",49.36,11,"1,661,686",49.06,0,"51,465",1.52,0,"1,557",0.05,0,475,0.01,0,"3,387,326"
Arkansas,"423,932",34.78,0,"760,647",62.40,6,"13,133",1.08,0,"2,980",0.24,0,"18,377",1.51,0,"1,219,069"
California,"11,110,639",63.48,55,"6,006,518",34.32,0,"187,910",1.07,0,"81,032",0.46,0,"115,281",0.66,0,"17,501,380"
Colorado,"1,804,352",55.40,9,"1,364,607",41.90,0,"52,460",1.61,0,"8,986",0.28,0,"26,575",0.82,0,"3,256,980"
Connecticut,"1,080,831",59.26,7,"714,717",39.19,0,"20,230",1.11,0,"7,538",0.41,0,541,0.03,0,"1,823,857"
Delaware,"296,268",58.74,3,"200,603",39.77,0,"5,000",0.99,0,"2,139",0.42,0,336,0.07,0,"504,346"
District of Columbia,"317,323",92.15,3,"18,586",5.40,0,"2,036",0.59,0,"1,726",0.50,0,"4,685",1.36,0,"344,356"
Florida,"5,297,045",47.86,0,"5,668,731",51.22,29,"70,324",0.64,0,"14,721",0.13,0,"16,635",0.15,0,"11,067,456"
Georgia,"2,473,633",49.47,16,"2,461,854",49.24,0,"62,229",1.24,0,"1,013",0.02,0,"1,231",0.02,0,"4,999,960"
Hawaii,"366,130",63.73,4,"196,864",34.27,0,"5,539",0.96,0,"3,822",0.67,0,"2,114",0.37,0,"574,469"
Idaho,"287,021",33.07,0,"554,119",63.84,4,"16,404",1.89,0,407,0.05,0,"9,983",1.15,0,"867,934"
Illinois,"3,471,915",57.54,20,"2,446,891",40.55,0,"66,544",1.10,0,"30,494",0.51,0,"17,900",0.30,0,"6,033,744"
Indiana,"1,242,498",40.96,0,"1,729,857",57.03,11,"58,901",1.94,0,989,0.03,0,965,0.03,0,"3,033,210"
Iowa,"759,061",44.89,0,"897,672",53.09,6,"19,637",1.16,0,"3,075",0.18,0,"11,426",0.68,0,"1,690,871"
Kansas,"570,323",41.51,0,"771,406",56.14,6,"30,574",2.23,0,669,0.05,0,"1,014",0.07,0,"1,373,986"
Kentucky,"772,474",36.15,0,"1,326,646",62.09,8,"26,234",1.23,0,716,0.03,0,"10,698",0.50,0,"2,136,768"
Louisiana,"856,034",39.85,0,"1,255,776",58.46,8,"21,645",1.01,0,0,0,0,"14,607",0.68,0,"2,148,062"
Maine,"435,072",53.09,2,"360,737",44.02,0,"14,152",1.73,0,"8,230",1.00,0,"1,270",0.15,0,"819,461"
ME-1,"266,376",60.11,1,"164,045",37.02,0,"7,343",1.66,0,"4,654",1.05,0,694,0.16,0,"443,112"
ME-2,"168,696",44.82,0,"196,692",52.26,1,"6,809",1.81,0,"3,576",0.95,0,576,0.15,0,"376,349"
Maryland,"1,985,023",65.36,10,"976,414",32.15,0,"33,488",1.10,0,"15,799",0.52,0,"26,306",0.87,0,"3,037,030"
Massachusetts,"2,382,202",65.60,11,"1,167,202",32.14,0,"47,013",1.29,0,"18,658",0.51,0,"16,327",0.45,0,"3,631,402"
Michigan,"2,804,040",50.62,16,"2,649,852",47.84,0,"60,381",1.09,0,"13,718",0.25,0,"11,311",0.20,0,"5,539,302"
Minnesota,"1,717,077",52.40,10,"1,484,065",45.28,0,"34,976",1.07,0,"10,033",0.31,0,"31,020",0.95,0,"3,277,171"
Mississippi,"539,398",41.06,0,"756,764",57.60,6,"8,026",0.61,0,"1,498",0.11,0,"8,073",0.61,0,"1,313,759"
Missouri,"1,253,014",41.41,0,"1,718,736",56.80,10,"41,205",1.36,0,"8,283",0.27,0,"4,724",0.16,0,"3,025,962"
Montana,"244,786",40.55,0,"343,602",56.92,3,"15,252",2.53,0,0,0,0,34,0.01,0,"603,674"
Nebraska,"374,583",39.17,0,"556,846",58.22,2,"20,283",2.12,0,[ o ],[ o ],0,"4,671",0.49,0,"956,383"
NE-1,"132,261",41.09,0,"180,290",56.01,1,"7,495",2.33,0,[ o ],[ o ],0,"1,840",0.57,0,"321,886"
NE-2,"176,468",51.95,1,"154,377",45.45,0,"6,909",2.03,0,[ o ],[ o ],0,"1,912",0.56,0,"339,666"
NE-3,"65,854",22.34,0,"222,179",75.36,1,"5,879",1.99,0,[ o ],[ o ],0,919,0.31,0,"294,831"
Nevada,"703,486",50.06,6,"669,890",47.67,0,"14,783",1.05,0,0,0,0,"17,217",1.23,0,"1,405,376"
New Hampshire,"424,937",52.71,4,"365,660",45.36,0,"13,236",1.64,0,217,0.03,0,"2,155",0.27,0,"806,205"
New Jersey,"2,608,400",57.33,14,"1,883,313",41.40,0,"31,677",0.70,0,"14,202",0.31,0,"11,865",0.26,0,"4,549,457"
New Mexico,"501,614",54.29,5,"401,894",43.50,0,"12,585",1.36,0,"4,426",0.48,0,"3,446",0.37,0,"923,965"
New York,"5,244,886",60.87,29,"3,251,997",37.74,0,"60,383",0.70,0,"32,832",0.38,0,"26,763",0.31,0,"8,616,861"
North Carolina,"2,684,292",48.59,0,"2,758,775",49.93,15,"48,678",0.88,0,"12,195",0.22,0,"20,864",0.38,0,"5,524,804"
North Dakota,"115,042",31.78,0,"235,751",65.12,3,"9,371",2.59,0,[ o ],[ o ],0,"1,860",0.51,0,"362,024"
Ohio,"2,679,165",45.24,0,"3,154,834",53.27,18,"67,569",1.14,0,"18,812",0.32,0,"1,822",0.03,0,"5,922,202"
Oklahoma,"503,890",32.29,0,"1,020,280",65.37,7,"24,731",1.58,0,0,0,0,"11,798",0.76,0,"1,560,699"
Oregon,"1,340,383",56.45,7,"958,448",40.37,0,"41,582",1.75,0,"11,831",0.50,0,"22,077",0.93,0,"2,374,321"
Pennsylvania,"3,458,229",49.85,20,"3,377,674",48.69,0,"79,380",1.14,0,"1,282",0.02,0,"20,411",0.29,0,"6,936,976"
Rhode Island,"307,486",59.39,4,"199,922",38.61,0,"5,053",0.98,0,[ o ],[ o ],0,"5,296",1.02,0,"517,757"
South Carolina,"1,091,541",43.43,0,"1,385,103",55.11,9,"27,916",1.11,0,"6,907",0.27,0,"1,862",0.07,0,"2,513,329"
South Dakota,"150,471",35.61,0,"261,043",61.77,3,"11,095",2.63,0,0,0,0,0,0,0,"422,609"
Tennessee,"1,143,711",37.45,0,"1,852,475",60.66,11,"29,877",0.98,0,"4,545",0.15,0,"23,243",0.76,0,"3,053,851"
Texas,"5,259,126",46.48,0,"5,890,347",52.06,38,"126,243",1.12,0,"33,396",0.30,0,"5,944",0.05,0,"11,315,056"
Utah,"560,282",37.65,0,"865,140",58.13,6,"38,447",2.58,0,"5,053",0.34,0,"19,367",1.30,0,"1,488,289"
Vermont,"242,820",66.09,3,"112,704",30.67,0,"3,608",0.98,0,"1,310",0.36,0,"6,986",1.90,0,"367,428"
Virginia,"2,413,568",54.11,13,"1,962,430",44.00,0,"64,761",1.45,0,[ o ],[ o ],0,"19,765",0.44,0,"4,460,524"
Washington,"2,369,612",57.97,12,"1,584,651",38.77,0,"80,500",1.97,0,"18,289",0.45,0,"34,579",0.85,0,"4,087,631"
West Virginia,"235,984",29.69,0,"545,382",68.62,5,"10,687",1.34,0,"2,599",0.33,0,79,0.01,0,"794,731"
Wisconsin,"1,630,866",49.45,10,"1,610,184",48.82,0,"38,491",1.17,0,"1,089",0.03,0,"17,411",0.53,0,"3,298,041"
